Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1966 106 115 100 71 117 107 115 125 118 125 118 92 110 114 123 148 128 111 143
1967 73 63 72 66 69 69 73 86 90 86 90 71 96 98 119 126 124 92 109
1968 87 86 93 89 90 81 87 100 97 100 97 82 94 91 121 120 145 101 111
1969 129 142 159 113 146 152 163 177 167 177 167 138 161 132 132 184 160 147 167
1970 113 117 122 107 118 113 123 141 136 141 136 119 129 119 126 205 207 130 145
1971 151 151 168 120 168 155 165 197 182 197 182 152 186 154 157 164 190 73 80
1972 155 165 179 127 179 174 189 192 193 192 193 152 187 148 127 139 119 121 160
1973 102 103 141 105 113 116 120 124 118 124 118 98 106 119 128 153 140 103 95
1974 118 132 150 87 142 139 150 157 151 157 151 119 145 122 137 186 175 108 110
1975 97 97 110 76 98 94 100 111 110 111 110 86 111 99 110 161 165 91 95
1976 103 114 110 92 117 114 119 128 128 128 128 106 122 122 140 173 168 126 145
1977 124 130 158 99 137 121 142 162 151 162 151 131 153 140 162 181 197 104 114
1978 115 99 111 103 103 95 110 121 130 121 130 106 135 111 121 152 149 103 119
1979 152 151 172 111 151 141 162 176 165 176 165 143 168 162 169 243 242 147 149
1980 76 97 123 91 93 108 114 120 125 120 125 96 122 119 118 154 144 99 95
1981 83 91 100 72 92 87 101 113 97 113 97 92 98 100 106 152 153 94 101
1982 82 84 110 87 99 93 103 131 110 131 110 113 121 103 119 138 163 95 126
1983 140 141 170 116 150 139 155 179 166 179 166 142 150 144 126 134 149 79 95
1984 140 157 157 123 167 152 170 198 162 198 162 135 158 158 191 231 218 86 101
1985 102 107 124 80 116 105 111 128 117 128 117 101 116 97 110 177 174 123 129
1986 104 105 105 92 107 93 102 113 123 113 123 97 125 91 102 135 125 103 105
1987 146 163 174 129 158 142 170 182 171 182 171 151 178 174 193 201 196 86 78
1988 152 153 138 114 153 150 161 184 175 184 175 138 163 143 160 240 219 130 164
1989 104 115 119 85 110 112 127 144 134 144 134 90 122 116 101 145 148 67 81
1990 129 127 129 82 137 116 117 131 133 131 133 83 125 114 118 126 152 93 115
1991 114 129 156 91 135 118 147 159 151 159 151 126 153 147 153 203 184 114 135
1992 135 140 183 124 146 145 174 194 177 194 177 139 180 148 159 158 184 102 99
1993 90 99 98 54 101 87 104 112 109 112 109 77 108 112 109 195 175 125 134
1994 68 66 90 63 73 75 81 92 99 92 99 74 102 105 153 100 118 103 134
1995 69 78 80 54 80 69 72 76 66 76 66 58 62 70 85 199 185 167 175
1996 114 119 132 97 119 124 131 148 129 148 129 115 126 115 103 161 164 94 111
1997 66 66 60 43 60 54 58 70 59 70 59 46 54 62 72 142 136 97 117
1998 111 120 154 127 125 128 149 153 145 153 145 125 136 120 135 182 180 138 136
1999 92 110 133 100 113 126 148 155 145 155 145 111 147 123 166 202 185 91 80
2000 98 93 102 77 92 95 103 96 95 96 95 86 90 89 109 176 157 152 163
2001 82 105 145 103 119 118 132 163 151 163 151 138 157 144 145 220 193 131 131
2002 113 120 124 101 118 125 132 143 126 143 126 103 115 117 125 167 176 92 116
2003 66 73 65 60 70 62 71 80 76 80 76 64 74 82 83 141 130 135 143
2004 134 135 144 99 137 133 139 164 152 164 152 121 158 140 162 193 183 110 98
2005 64 69 71 44 68 68 69 83 78 83 78 79 75 77 104 167 159 97 116
2006 142 155 169 124 148 140 170 188 165 188 165 146 161 161 162 172 197 69 79
2007 92 98 111 83 105 110 121 138 121 138 121 111 115 118 130 187 186 130 156
2008 128 126 151 107 138 140 147 173 158 173 158 139 148 159 176 228 216 132 113
2009 126 142 143 106 153 134 140 149 157 149 157 110 144 126 115 146 122 89 97
2010 117 130 164 110 143 143 157 170 158 170 158 134 146 108 162 197 183 101 101
2011 124 127 130 88 122 114 131 135 114 135 114 98 113 105 136 227 198 176 192
2012 87 76 69 63 72 59 65 92 78 92 78 70 76 89 99 195 192 133 160
2013 113 125 136 109 129 111 128 142 133 142 133 108 119 98 129 164 163 122 137
2014 173 170 183 117 189 165 173 201 203 201 203 174 205 199 220 210 222 73 75
2015 45 56 77 55 64 55 65 69 66 69 66 71 66 68 53 98 84 96 127
