Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300              
1966 2.58 2.46 2.33 2.1 2.48 2.24 2.38 2.66 2.58 2.66 2.58 2.3 2.6 2.52 2.79 2.35 2.44 2.46 2.07
1967 2.48 2.72 2.68 2.43 2.87 2.53 2.6 2.86 3.09 2.86 3.09 2.73 3.07 2.49 2.52 2.49 2.43 2.45 2.2
1968 2.73 2.75 2.5 2.41 2.58 2.52 2.63 2.65 2.49 2.65 2.49 2.35 2.51 2.67 2.87 2.6 2.81 2.05 2.22
1969 2.71 2.6 2.82 2.32 2.55 2.45 2.71 2.93 2.91 2.93 2.91 2.45 3.05 2.96 2.86 2.63 2.65 2.31 2.24
1970 2.85 2.69 2.84 2.4 2.76 2.61 2.79 3 3.03 3 3.03 2.88 3.23 2.93 3.35 2.53 2.67 2.46 2.53
1971 2.33 2.73 2.84 2.39 2.68 2.74 2.84 2.73 2.77 2.73 2.77 2.51 2.8 2.73 2.83 2.64 2.71 2.04 1.99
1972 2.99 2.89 2.84 2.62 2.95 2.78 2.86 3.09 2.77 3.09 2.77 2.66 2.78 2.75 3.2 2.46 2.84 2.94 2.59
1973 2.25 2.21 2.47 2.36 2.45 2.57 2.64 2.8 2.62 2.8 2.62 2.5 2.77 2.79 2.73 2.42 2.47 2.2 2.08
1974 3.19 3.07 2.72 2.39 2.92 2.72 2.75 2.76 2.86 2.76 2.86 2.47 3.01 3.03 3.23 2.37 2.34 2.19 2.01
1975 2.84 2.88 2.71 2.14 2.77 2.66 2.8 3 2.92 3 2.92 2.58 2.99 3.38 3.62 2.23 2.39 2.05 1.89
1976 2.75 2.85 2.68 2.65 2.7 2.61 2.53 2.75 2.8 2.75 2.8 2.58 2.87 2.82 2.95 2.57 2.44 2.4 2.14
1977 2.83 2.6 2.71 2.47 2.77 2.86 2.95 3.27 3.12 3.27 3.12 2.68 3.01 3.28 3.36 2.51 2.54 2.76 2.33
1978 2.22 2.37 2.43 2.34 2.41 2.34 2.3 2.53 2.42 2.53 2.42 2.12 2.32 2.63 3.13 2.33 2.47 2.2 2.52
1979 2.9 2.77 2.68 2.35 2.77 2.7 2.74 2.91 2.69 2.91 2.69 2.24 2.53 2.6 2.89 2.53 2.51 2.44 2.63
1980 2.7 2.57 2.67 2.16 2.8 2.47 2.9 3.06 2.79 3.06 2.79 2.79 2.96 3.32 3.39 2.58 2.51 2.31 2.42
1981 2.4 2.18 2.27 2.22 2.1 2.21 2.25 2.4 2.3 2.4 2.3 2.28 2.35 2.61 2.6 2.39 2.48 2.92 2.59
1982 2.31 2.4 2.5 2.25 2.4 2.59 2.64 2.64 2.68 2.64 2.68 2.53 2.64 2.84 3.26 2.6 2.8 2.71 1.93
1983 2.7 2.57 2.85 2.3 2.67 2.64 2.87 2.98 2.94 2.98 2.94 2.66 3.07 2.62 2.52 2.31 2.26 2.44 2.05
1984 2.9 2.77 2.75 2.21 2.75 2.72 2.8 3.01 2.94 3.01 2.94 2.62 2.89 3.03 3.39 2.86 2.82 2.09 2.05
1985 2.6 2.61 2.46 2.09 2.65 2.48 2.49 2.85 2.8 2.85 2.8 2.49 2.75 2.64 2.66 2.3 2.46 2.66 2.46
1986 2.89 2.82 3.35 2.52 3.01 3.14 3.37 3.21 2.9 3.21 2.9 2.96 3.01 3.28 3.39 2.51 2.76 2.34 2.05
1987 2.63 2.67 2.6 2.01 2.68 2.53 2.64 2.9 2.62 2.9 2.62 2.41 2.52 2.75 3.01 2.69 2.89 2.26 2.67
1988 2.74 2.74 3.02 2.52 2.92 2.78 2.93 2.98 2.9 2.98 2.9 2.78 3.01 2.91 3.42 3.14 3 2.29 2.2
1989 2.95 2.59 2.45 2.08 2.79 2.43 2.45 2.8 2.82 2.8 2.82 2.53 2.88 2.36 2.89 2.81 2.33 2.14 2.01
1990 2.43 2.58 2.3 2.07 2.41 2.43 2.54 2.55 2.37 2.55 2.37 2.24 2.42 2.32 2.88 2.61 2.52 2.7 2.43
1991 2.66 2.72 2.76 2.18 2.77 2.62 2.79 3.03 2.89 3.03 2.89 2.57 3.03 3.29 3.08 2.49 2.53 2.46 2.21
1992 2.44 2.38 2.47 2.21 2.39 2.39 2.51 2.64 2.58 2.64 2.58 2.37 2.59 2.66 2.73 2.22 2.28 2.28 2.41
1993 2.77 2.24 2.39 2.28 2.41 2.37 2.39 2.77 2.87 2.77 2.87 2.87 2.8 2.61 3.22 2.81 3.03 2.68 2.11
1994 2.69 2.5 2.7 2.13 2.62 2.68 2.92 3.07 2.98 3.07 2.98 2.97 3.21 3.18 3.26 2.61 2.72 2.22 2.11
1995 2.9 2.58 2.63 2.07 2.52 2.39 2.61 2.83 2.54 2.83 2.54 2.38 2.57 2.7 3.4 2.87 2.82 2.63 2.47
1996 2.77 3.17 3.17 2.61 3.26 3.01 3.31 3.34 3.41 3.34 3.41 3.02 3.43 2.88 3.15 2.9 2.78 2.39 1.96
1997 2.36 2.29 2.44 2.63 2.27 2.16 2.31 2.36 2.24 2.36 2.24 2.32 2.52 2.74 2.87 2.47 2.92 2.59 2.45
1998 2.85 2.83 2.88 2.34 2.75 2.71 2.69 3.06 2.91 3.06 2.91 2.68 2.92 3.09 3.14 2.97 2.81 2.37 2.12
1999 2.62 2.18 2.34 2.12 2.41 2.09 2.53 2.69 2.66 2.69 2.66 2.5 2.69 3.22 3.43 2.75 2.66 1.98 2.01
2000 2.62 2.87 2.51 2.46 2.93 2.56 2.66 3.1 2.76 3.1 2.76 2.55 2.76 2.5 2.58 2.5 2.86 2.5 2.43
2001 2.39 2.34 2.26 2.38 2.44 2.42 2.34 2.42 2.56 2.42 2.56 2.38 2.7 2.83 2.9 2.85 3.11 2.71 2.27
2002 2.68 2.77 2.85 2.45 2.67 2.57 2.85 3.05 2.83 3.05 2.83 2.73 2.93 2.96 3.42 2.49 2.55 2.25 2.2
2003 2.61 2.64 2.87 2.16 2.35 2.26 2.46 2.61 2.62 2.61 2.62 2.64 2.6 2.53 2.94 2.21 2.12 2.3 1.97
2004 2.95 2.67 2.63 2.21 2.74 2.62 2.77 2.84 3.1 2.84 3.1 2.71 3.11 2.86 2.88 2.43 2.45 2.59 2.29
2005 2.4 2.23 2.57 2.4 2.4 2.35 2.46 2.63 2.43 2.63 2.43 2.35 2.58 2.96 3.21 2.19 2.52 2.73 2.2
2006 2.7 2.67 2.71 2.25 2.86 2.82 2.73 2.93 2.89 2.93 2.89 2.72 2.97 2.84 2.94 2.31 2.54 2.36 2.1
2007 2.71 2.73 3.07 2.49 2.79 2.68 2.88 3 2.93 3 2.93 2.51 2.86 2.97 3.31 2.84 2.73 2.66 2.22
2008 2.52 2.53 2.52 2.29 2.53 2.52 2.66 2.71 2.62 2.71 2.62 2.44 2.66 2.84 3.48 2.68 2.64 2.85 2.66
2009 2.53 2.45 2.71 2.18 2.51 2.44 2.64 2.81 2.69 2.81 2.69 2.57 2.74 3.15 3.39 2.65 2.64 2.04 2.4
2010 2.17 2.45 2.37 2.03 2.48 2.46 2.59 2.79 2.68 2.79 2.68 2.54 2.83 3.11 2.65 2.12 2.31 2.59 2.47
2011 2.52 2.55 3.07 2.52 2.63 2.84 2.84 2.92 2.83 2.92 2.83 2.38 2.67 3.15 3.26 2.64 2.84 3.28 2.75
2012 2.3 2.35 2.39 2.06 2.15 2.31 2.59 2.64 2.81 2.64 2.81 2.41 2.74 2.9 3.23 2.36 2.62 2.46 2.12
2013 2.72 2.53 2.33 2.36 2.51 2.56 2.68 2.73 2.49 2.73 2.49 2.41 2.85 3.06 3.19 2.48 2.48 2.4 2.29
2014 2.37 2.26 2.54 2.17 2.28 2.39 2.64 2.87 2.73 2.87 2.73 2.43 2.7 2.99 3.31 2.39 2.34 2.6 2.69
2015 3.09 2.6 2.46 2.07 2.45 2.48 2.48 2.65 2.96 2.65 2.96 2.33 3.09 2.99 2.93 2.99 2.98 2.24 2.1
