Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                  
1970 3.46 3.62 3.57 2.53 3.61 3.52 3.66 3.39 3.18 3.39 3.18 2.92 3.45 3.76 3.91 2.53 3.3 2.44 2.64
1971 3.09 3.06 3.35 2.81 3.22 3.5 3.41 3.07 3.02 3.07 3.02 2.57 3.38 3.54 4.6 3.7 3.46 2.21 2.29
1972 2.93 2.91 3.45 3.5 3.23 3.04 3.26 3.07 3.27 3.07 3.27 3.26 3.48 3.53 3.51 2.7 3 2.29 2.54
1973 3.25 3.61 3.23 2.6 3.47 3.77 3.47 3.1 3.29 3.1 3.29 3.44 3.55 3.91 2.89 3.15 3.05 2.66 2.7
1974 3.28 3.08 3.45 3.63 3.47 3.7 3.49 3.91 3.65 3.91 3.65 3.14 3.46 3.58 3.59 3.25 3.01 2.38 2.95
1975 3.31 3.46 3.92 2.96 3.48 3.35 3.46 3.38 3.74 3.38 3.74 2.93 4.37 3.88 4.12 3.24 2.67 2.52 2.5
1976 3.32 2.95 3.17 2.84 3.07 3.44 3.52 3.33 3.36 3.33 3.36 3.32 3.57 3.97 3.79 3.35 3.43 2.98 3.06
1977 3.57 3.76 3.76 3.87 3.66 3.79 3.84 3.71 4.17 3.71 4.17 3.37 4.38 4.27 4.38 3.57 3.59 2.5 2.72
1978 3.32 3.33 3.51 2.62 3.33 3.62 3.63 3.48 3.33 3.48 3.33 2.84 3.36 3.8 3.86 2.86 2.88 2.34 2.25
1979 3.26 3.28 3.13 2.93 3.05 3.57 3.43 2.95 2.88 2.95 2.88 3.27 3.21 3.75 3.82 2.93 3.34 2.56 2.49
1980 3.35 3.51 3.48 3.06 3.45 3.32 3.51 3.19 3.06 3.19 3.06 2.97 3.28 3.57 2.99 3.06 3.61 2.68 2.33
1981 3.05 2.85 2.92 2.85 2.92 3.18 3.17 2.77 3.01 2.77 3.01 2.9 3.47 3.86 4.06 2.54 3.06 2.31 2.81
1982 2.99 2.58 2.64 2.6 2.72 2.68 2.85 2.76 3.03 2.76 3.03 2.7 3.53 3.4 3.54 2.92 2.99 3.03 2.5
1983 3.14 3.26 3.22 3.06 3.41 3.49 3.22 3.07 3.1 3.07 3.1 2.83 3.19 3.47 3.84 3.18 3.29 2.27 2.5
1984 3.46 3.5 3.19 3.22 3.25 3.31 3.17 2.86 2.76 2.86 2.76 2.75 2.85 3.15 3.14 2.48 2.94 2.63 2.59
1985 3.41 3.57 2.98 2.67 3.03 3.28 3.28 2.89 3.21 2.89 3.21 3.13 3.24 3.55 3.55 3.33 3.24 2.36 2.54
1986 3.66 3.71 3.39 2.68 3.89 3.65 3.34 3.34 3.35 3.34 3.35 2.82 3.46 3.77 4.09 3.04 2.59 2.5 2.47
1987 3.17 3.23 3.17 2.63 3.48 3.27 3.15 2.76 2.79 2.76 2.79 2.43 3.07 3.45 3.15 2.79 2.69 2.39 2.61
1988 3.09 2.96 3.08 2.71 2.97 2.84 2.88 2.86 2.91 2.86 2.91 3.27 3.33 3.89 3.79 2.9 3.09 2.15 2.53
