Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                   
1970 3.33 3.04 3.16 2.63 3.08 3.18 3.28 3.08 3 3.08 3 3.08 3.58 4.07 3.91 3.01 2.65 2.47 2.45
1971 3.37 3.46 3.05 2.79 3.43 2.95 2.8 2.99 3.27 2.99 3.27 3.16 3.38 3.46 3.92 2.84 2.87 2.6 2.56
1972 3.59 3.33 3.61 3.16 3.65 3.48 3.65 3.46 3.23 3.46 3.23 2.98 3.77 3.57 3.8 3.47 3.17 2.61 2.73
1973 2.91 3.31 3.09 2.72 3.45 3.2 2.97 2.85 3.06 2.85 3.06 3.04 3.35 2.84 3.15 2.8 2.94 2.53 2.2
1974 3.17 3 3.1 2.89 3.01 3.01 2.95 2.97 2.98 2.97 2.98 3.35 3.47 3.64 3.7 3.26 3.24 2.54 2.38
1975 2.81 2.71 2.7 2.2 3.04 2.72 2.7 2.76 2.96 2.76 2.96 2.92 3.49 3.81 3.35 2.6 2.72 2.74 2.55
1976 2.63 2.92 2.89 2.52 2.87 2.96 3.08 2.98 2.67 2.98 2.67 2.62 2.91 2.9 3.17 3.01 3.44 2.07 2.36
1977 3.26 3 3.25 2.96 3.28 2.96 3.02 3.11 3.1 3.11 3.1 2.93 3.93 3.87 4.08 3.05 3.41 2.44 2.55
1978 3.21 3.6 3.51 3.11 3.27 3.45 3.3 3.21 3.34 3.21 3.34 3.1 3.75 3.73 3.41 2.79 3.03 2.43 2.46
1979 2.31 3.26 3 2.68 3.23 3.3 3.34 2.95 3.2 2.95 3.2 2.7 2.89 3.19 3.74 2.46 2.59 2.17 2.31
1980 2.99 2.91 3.2 2.35 3.05 3.12 3.32 3.32 3.12 3.32 3.12 3.3 3.55 4.01 4.36 3.07 3.14 2.2 2.27
1981 3.25 3.34 3.45 3.07 3.47 3.71 3.52 3.5 3.37 3.5 3.37 3.16 3.79 3.98 3.91 3.11 3.47 2.55 2.35
1982 2.79 2.71 2.89 2.23 2.84 3.06 3.29 2.93 2.77 2.93 2.77 2.74 3.02 3.38 3.07 3.22 2.96 2.77 2.6
1983 2.63 2.68 3.05 2.33 2.79 2.91 2.93 2.93 3.22 2.93 3.22 2.69 3.49 3.62 3.33 2.87 3 2.51 2.18
