Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1970 101 113 112 88 122 120 119 113 101 113 101 103 116 139 110 130 133 126 102
1971 144 146 154 104 155 121 126 146 135 146 135 147 130 146 155 189 184 138 104
1972 87 113 126 64 123 109 119 120 112 120 112 126 129 138 111 168 177 111 76
1973 125 136 119 57 147 122 134 125 121 125 121 109 119 161 142 154 153 123 81
1974 146 151 159 101 177 153 166 157 154 157 154 145 164 191 197 217 203 116 102
1975 57 57 51 29 64 56 65 56 44 56 44 40 38 48 52 108 117 179 136
1976 87 99 113 67 114 97 102 102 90 102 90 94 104 103 102 144 134 139 90
1977 97 123 85 52 126 105 99 88 75 88 75 73 85 117 88 113 98 160 107
1978 106 114 120 71 143 140 156 143 121 143 121 115 109 127 116 216 188 182 141
1979 86 98 108 65 111 103 107 110 96 110 96 96 98 108 129 159 122 117 84
1980 108 152 119 66 159 126 152 140 111 140 111 100 114 129 148 172 149 186 128
1981 126 141 154 92 152 124 137 143 120 143 120 122 118 139 128 201 181 183 126
1982 130 130 126 80 151 128 126 130 114 130 114 119 120 138 158 221 202 190 120
1983 67 80 65 46 82 77 81 67 61 67 61 61 61 85 81 102 97 150 104
1984 97 120 129 80 138 140 140 129 118 129 118 114 138 127 134 134 99 124 86
1985 145 161 154 98 160 134 154 148 123 148 123 121 148 198 173 204 200 110 98
1986 111 118 111 69 127 120 118 121 102 121 102 100 124 142 142 153 129 97 84
1987 140 175 168 93 175 149 151 145 118 145 118 122 150 167 168 156 143 137 112
1988 71 87 81 55 93 72 80 87 63 87 63 67 52 76 84 127 123 186 125
1989 81 97 104 72 105 90 96 99 92 99 92 83 89 93 87 169 158 208 140
1990 129 112 97 58 121 94 106 104 88 104 88 79 88 107 109 170 144 151 109
1991 99 109 95 64 125 101 111 99 96 99 96 95 105 127 133 186 171 181 153
1992 117 130 122 79 130 131 127 116 105 116 105 110 121 123 144 192 165 188 136
1993 98 136 115 67 136 140 139 119 93 119 93 95 112 124 111 139 111 136 87
1994 125 141 127 91 136 124 123 128 106 128 106 104 121 128 146 162 135 130 81
1995 110 128 157 92 137 137 151 141 124 141 124 136 127 151 151 191 185 210 165
1996 68 73 76 53 78 71 64 76 72 76 72 74 74 94 88 142 120 144 104
1997 134 134 128 66 148 135 145 133 122 133 122 131 125 129 128 128 112 99 64
1998 106 113 101 44 119 92 112 107 96 107 96 90 83 89 78 175 134 201 133
1999 134 147 154 90 152 146 157 151 122 151 122 121 130 134 125 176 149 173 133
2000 98 101 88 46 114 100 103 110 89 110 89 75 91 101 107 167 128 153 127
2001 127 157 146 97 168 152 166 149 133 149 133 139 151 174 175 204 182 195 110
2002 99 82 70 44 81 73 86 85 73 85 73 72 77 96 97 187 178 160 115
2003 121 149 134 83 160 156 157 141 129 141 129 118 138 151 168 159 149 51 52
2004 124 166 149 82 187 172 183 153 135 153 135 113 146 153 136 188 164 172 125
2005 148 159 178 89 170 164 183 168 149 168 149 148 170 170 134 199 172 153 116
2006 164 166 146 95 174 154 161 145 142 145 142 129 146 157 157 228 190 132 91
2007 114 126 104 71 133 113 123 113 101 113 101 91 104 101 121 169 157 144 124
2008 137 143 149 103 163 153 141 143 141 143 141 138 140 140 156 162 167 111 100
2009 118 126 118 69 143 122 126 113 104 113 104 105 111 137 125 190 168 182 143
2010 137 138 122 80 150 117 129 123 111 123 111 105 104 121 152 225 220 176 119
2011 122 123 107 64 142 117 132 125 109 125 109 87 106 143 114 144 162 103 108
2012 123 168 149 94 177 149 153 134 131 134 131 113 141 179 147 131 135 180 106
2013 106 113 141 72 140 137 147 145 120 145 120 114 128 133 136 191 192 154 120
