Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300             
1970 3 3.04 3.35 2.22 2.94 3.21 3.54 3.43 3.26 3.43 3.26 3.36 3.66 3.75 4.33 3.29 3.37 1.94 2.53
1971 3.38 3.47 2.85 2.95 3.43 3.41 3.08 3.02 3.15 3.02 3.15 3.33 3.4 3.2 3.06 3.12 3.17 2.55 2.29
1972 3.28 2.7 2.6 2.53 3.15 2.89 2.73 2.62 2.81 2.62 2.81 2.63 3.09 3.22 3.62 2.96 3.17 2.19 1.84
1973 3.13 3.06 3.05 2.62 3.03 3.05 3.02 3 3.01 3 3.01 2.81 3.31 3.81 3.25 2.95 3.2 2.6 2.41
1974 2.93 2.96 3.15 2.73 2.84 2.96 2.93 2.97 2.84 2.97 2.84 2.98 3.04 3.4 3.8 3.09 3.43 2.16 2.34
1975 2.91 2.64 3.3 4.01 2.48 3.14 3.37 3.47 3.28 3.47 3.28 3.22 3.02 3.25 3.35 3.13 2.64 2.54 2.42
1976 3.14 3.26 3.67 2.56 3.19 3.59 3.67 3.28 3.31 3.28 3.31 3.11 3.45 3.92 3.36 2.68 2.97 2.44 2.4
1977 3.37 2.86 2.67 2.76 2.64 2.7 3.13 3.02 2.59 3.02 2.59 3.01 2.38 3.03 2.84 3.12 2.88 2.16 2.46
1978 2.88 2.79 3.08 2.39 2.99 2.58 2.5 2.58 2.69 2.58 2.69 2.69 2.88 3.35 3.28 2.7 3.06 2.33 2.18
1979 2.73 2.73 2.6 2.77 2.82 2.75 2.76 2.68 2.59 2.68 2.59 2.92 2.84 2.97 2.84 2.77 2.68 2.15 2.29
1980 3.46 2.74 2.7 2.32 2.64 2.58 2.62 2.6 2.72 2.6 2.72 2.62 2.87 3.18 3.52 2.78 2.71 2.32 2.63
1981 3.14 2.8 2.9 2.36 2.99 2.91 2.8 2.83 2.97 2.83 2.97 2.67 3.2 2.75 2.82 2.61 2.95 2.31 2.18
1982 3.18 3.11 3.19 2.74 3.16 3.13 3.25 3.27 3.21 3.27 3.21 3.18 3.37 3.59 4 3.16 3.31 2.23 2.28
1983 4.17 4.38 4.46 3.31 4.69 4.3 3.92 3.72 3.28 3.72 3.28 3.14 3.42 4.04 3.92 3 3.39 2.28 2.56
1984 3.13 3.32 3.58 3.4 2.96 3.21 3.47 3.17 2.86 3.17 2.86 2.92 3.16 3.4 3.31 2.54 3.04 2.36 2.39
1985 3.34 3.17 3.2 2.97 3.28 3.44 3.3 2.92 2.99 2.92 2.99 3 3.31 3.71 4.51 3.02 3.31 2.3 2.44
1986 2.83 3.11 3.06 2.8 3.07 2.82 3.07 2.73 2.84 2.73 2.84 2.8 3.14 3.78 3.24 2.87 3.06 2.06 2.17
1987 3.13 3.14 3.18 3.19 3.13 2.97 2.97 3.05 3.15 3.05 3.15 2.76 3.15 3.46 3.8 3.01 3.09 2.28 2.93
1988 4.02 3.28 2.71 2.87 3.19 2.96 2.68 2.66 2.48 2.66 2.48 2.96 2.79 3 3.01 2.66 3.57 2.37 2.05
1989 3.37 3.35 2.91 2.72 3.25 3.25 3.16 3.04 3.26 3.04 3.26 3.23 3.29 2.81 3.57 2.76 3.14 2.29 2.44
1990 2.86 2.86 2.97 3.06 2.7 2.72 2.81 2.7 2.63 2.7 2.63 3.35 3.07 2.98 2.93 2.67 2.59 2.3 2.62
1991 3.01 3.37 3.34 3.07 3.28 3.33 3.25 3.55 3.23 3.55 3.23 3.37 3.32 3.75 3.23 3.13 3.08 2.44 2.51
1992 3.77 3.37 4.12 2.85 3.59 3.59 4.09 3.84 3.72 3.84 3.72 3.48 3.68 3.4 3.72 3.68 3.6 2.53 2.67
1993 2.98 2.65 3.51 2.97 2.67 3.42 3.71 3.63 3.46 3.63 3.46 3.35 3.21 3.4 3.82 2.77 3.02 2.26 1.89
1994 2.91 3.02 3.11 2.45 3.21 3.03 2.96 2.64 2.98 2.64 2.98 2.7 3.16 3.54 3.91 2.95 3.97 2.29 2.19
1995 3.14 3.4 3.59 3.56 3.5 3.33 3.35 3.24 3.18 3.24 3.18 3.14 3.51 3.66 3.91 2.81 3.26 2.46 2.4
1996 3.77 3.3 3.09 2.94 3.44 2.73 2.9 2.87 2.73 2.87 2.73 2.85 3 4.17 3.63 2.98 3.3 2.54 2.33
1997 2.98 3.16 2.93 2.14 3.09 3.19 3.2 3.06 3.25 3.06 3.25 3.2 4.1 4.3 3.57 3.29 3.38 2.32 2.25
1998 2.94 3.02 2.73 2.47 2.98 3.12 2.98 2.9 2.67 2.9 2.67 2.72 3.36 3.2 4.07 2.95 2.98 2.52 2.14
1999 3.26 3.46 3.25 2.88 3.42 3.37 3.34 3.04 3.02 3.04 3.02 3.07 3.39 3.85 3.72 2.84 3.23 2.68 2.17
2000 3.01 2.94 3.21 2.32 3.09 3.06 3.19 2.89 2.94 2.89 2.94 2.72 3.31 3.18 3.37 3.03 3.24 2.35 2.42
2001 3.17 3.01 3.21 2.93 3.08 3.11 3.06 3.49 3.3 3.49 3.3 3.21 3.56 3.55 3.81 2.72 3.08 2.36 2.12
2002 3.47 3.33 3.34 2.56 3.23 2.99 3.01 2.81 2.62 2.81 2.62 2.53 2.88 3.15 3.35 2.91 3.21 2.41 2.15
2003 3.36 2.94 3.12 2.45 3.08 3.21 3.24 3.3 3.16 3.3 3.16 3.13 3.47 3.64 3.33 2.84 2.52 2.35 2.35
2004 3.28 3.41 3.76 3.35 3.43 3.53 3.64 3.65 3.4 3.65 3.4 3.31 3.75 3.33 3.4 3.26 2.88 2.94 2.56
2005 3.49 3.57 3.33 3.37 3.62 3.47 3.48 3.5 3.55 3.5 3.55 3.28 3.76 3.89 4.58 3.66 3.63 2.7 3.23
2006 3.03 3 2.97 2.85 3.16 2.74 2.66 2.91 2.71 2.91 2.71 2.77 3.11 3.26 3.62 2.9 2.83 2.13 2.28
2007 3.16 3.65 3.93 3.52 3.53 3.86 3.79 3.4 3.39 3.4 3.39 3.62 4.14 4.13 4.15 3.29 3.35 2.38 2.62
2008 3.3 3.61 3.65 3.04 3.94 3.82 4.1 3.52 3.35 3.52 3.35 3.24 3.89 3.69 4.28 3.55 3.77 3.07 2.65
2009 3.04 2.93 2.45 2.33 2.85 2.64 2.66 2.69 2.96 2.69 2.96 2.71 3.46 3.68 3.75 2.99 3.38 2.28 2.69
2010 3.63 3.48 3.44 2.85 3.38 3.45 3.36 3.58 3.41 3.58 3.41 3.16 3.55 3.88 3.91 3.15 3.27 2.72 2.41
2011 3.32 3.29 4.11 3.46 3.65 4.29 3.95 3.75 3.83 3.75 3.83 3.66 3.9 3.67 4.39 3.53 3.24 2.67 2.82
2012 3.25 3.12 3.65 3.15 3.29 3.52 3.54 3.46 3.34 3.46 3.34 3.47 3.76 3.93 4.54 2.54 3.32 2.24 2.1
2013 3.04 2.87 3.12 3.13 3.05 3.18 3.18 3.31 3.32 3.31 3.32 3.13 3.15 3.41 3.87 3.16 3.35 2.71 2.69
