Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300                   
1970 2.9 2.63 2.95 2.2 2.9 3.14 3.08 2.93 2.7 2.93 2.7 2.52 3.19 2.99 3.76 3.01 3.23 2.31 2.35
1971 3.33 3.18 3.03 2.54 3.4 3.19 3.05 3.05 3.14 3.05 3.14 3.01 3.53 3.28 3.38 3.13 2.98 2.74 2.59
1972 2.33 2.77 2.59 2.21 2.93 2.95 2.74 2.42 2.24 2.42 2.24 2.37 2.73 2.74 2.65 3.11 3.47 2.44 2.46
1973 3.03 3.32 3.31 2.91 3.45 3.34 3.38 3.42 3.06 3.42 3.06 3.2 3.51 3.49 4.07 2.73 3.04 2.69 2.93
1974 2.79 2.59 3.17 3.39 2.68 2.85 2.87 2.87 2.94 2.87 2.94 2.57 3.09 3.79 3.89 2.6 2.62 2.53 2.5
1975 3.42 3.27 3.49 2.89 3.29 3.19 3.4 3.2 3.31 3.2 3.31 3.09 3.98 3.99 3.47 3.24 3.48 2.38 2.43
1976 3.28 3.12 3.34 2.31 3.14 3.15 3.03 2.83 3.07 2.83 3.07 2.82 3.39 3.16 3.29 3.24 3.38 2.58 2.31
1977 3.51 3.55 3.17 2.92 3.59 3.5 3.24 2.84 3.1 2.84 3.1 2.64 2.87 3.05 3.06 3 2.61 2.8 2.78
1978 2.96 2.55 2.73 2.14 2.62 2.39 2.63 2.56 2.36 2.56 2.36 2.25 2.72 2.97 2.89 3.36 3.04 2.15 2.24
1979 2.94 3.06 3.04 2.96 3.02 3.08 2.85 2.8 2.86 2.8 2.86 2.88 3.13 3.29 3.41 3.07 3.12 2.69 2.35
1980 2.73 2.76 3.11 2.52 2.88 3.2 3.2 3.17 3.02 3.17 3.02 2.65 3.19 3.71 3.25 3 3.13 2.45 2.31
1981 3.26 3.51 3.06 2.57 3.43 3.23 3.11 3.04 2.9 3.04 2.9 3.05 3.31 3.89 3.26 3.02 3.31 3 2.84
1982 2.64 2.66 2.57 2.33 2.63 2.54 2.56 2.59 2.59 2.59 2.59 2.26 2.85 3.38 3.34 3.22 3.3 2.65 2.53
1983 3.84 3.46 2.99 2.25 3.55 3.61 3.12 2.98 3.07 2.98 3.07 2.64 2.92 3.25 3.29 3.16 3.09 2.63 2.65
1984 3 3.07 3.1 2.42 2.77 2.73 2.71 2.82 2.8 2.82 2.8 2.88 3.78 4.02 3.73 3.19 3.27 2.72 2.63
1985 3.02 2.99 2.9 2.45 3.02 2.83 2.67 2.71 2.69 2.71 2.69 2.73 2.89 2.97 3.55 2.85 2.91 2.38 2.44
1986 2.89 3.22 2.82 3.11 3.27 2.64 2.81 3.08 2.69 3.08 2.69 2.79 2.7 3.03 2.59 2.88 2.8 2.95 2.66
1987 3.24 3.01 3.36 2.88 3.29 2.99 2.88 3.09 3.26 3.09 3.26 2.87 3.76 3.31 3.87 2.96 2.91 2.56 2.44
1988 3.04 2.94 2.72 2.05 2.93 2.47 2.6 2.8 2.91 2.8 2.91 2.66 3.28 3.91 3.85 3.08 2.99 2.77 2.56
1989 2.86 2.88 2.84 2.69 2.99 2.74 2.77 2.81 2.68 2.81 2.68 2.85 2.92 3.13 3.03 3.33 3.5 2.81 2.72
