Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1970 108 114 139 85 140 126 140 146 131 146 131 129 132 143 156 181 181 209 170
1971 105 133 137 86 121 123 136 130 115 130 115 114 125 121 105 166 150 124 109
1972 106 129 128 86 132 131 141 128 126 128 126 126 137 149 126 104 106 72 71
1973 124 129 98 76 141 123 110 114 94 114 94 95 109 132 133 195 201 124 110
1974 158 143 133 73 169 154 158 155 137 155 137 137 139 187 170 213 213 103 79
1975 93 113 113 79 121 111 120 119 111 119 111 98 125 118 118 122 112 107 87
1976 101 117 117 64 114 97 111 104 95 104 95 83 89 112 113 173 160 168 136
1977 120 140 128 72 143 130 146 124 112 124 112 106 131 139 135 186 151 85 68
1978 131 128 155 78 165 140 146 163 142 163 142 121 139 150 146 171 216 154 148
1979 129 153 138 94 158 136 154 154 135 154 135 125 130 153 158 243 244 188 151
1980 119 143 131 84 158 136 145 134 133 134 133 119 122 150 153 211 211 141 110
1981 161 162 166 98 198 172 175 179 157 179 157 150 172 196 206 245 250 118 102
1982 117 148 139 72 147 142 140 142 110 142 110 108 111 143 152 183 169 150 132
1983 88 112 92 55 125 106 109 90 77 90 77 98 81 90 90 128 114 186 147
1984 128 164 146 82 160 141 152 143 117 143 117 118 132 130 153 251 197 131 116
1985 181 183 210 157 223 202 193 200 191 200 191 204 189 210 213 236 248 136 102
1986 110 134 144 77 138 129 133 139 119 139 119 119 119 148 160 156 168 114 123
1987 117 101 87 55 137 123 120 105 93 105 93 95 86 136 114 193 210 165 130
1988 146 154 183 110 189 178 183 182 158 182 158 146 158 181 176 230 225 142 112
1989 85 99 112 61 111 112 117 109 89 109 89 104 102 117 103 169 153 185 144
1990 105 120 135 101 134 123 137 136 116 136 116 127 107 135 120 229 192 146 119
1991 122 148 136 77 151 128 133 142 124 142 124 118 126 137 130 205 174 148 130
1992 130 152 115 56 164 159 157 145 113 145 113 109 103 159 112 214 201 123 116
1993 139 157 148 90 168 152 164 164 144 164 144 128 141 156 172 213 194 90 95
1994 80 101 76 50 112 97 95 102 76 102 76 77 96 106 96 151 147 122 90
1995 124 166 181 98 173 166 187 182 154 182 154 158 181 173 137 181 158 126 101
1996 131 161 155 120 175 161 178 167 145 167 145 140 154 161 162 175 190 137 122
1997 129 147 141 88 156 133 142 151 118 151 118 127 130 145 146 192 175 196 161
1998 101 129 122 80 129 113 117 118 106 118 106 101 117 106 105 160 143 174 150
1999 102 130 125 68 125 112 121 115 104 115 104 101 112 133 134 159 161 157 134
2000 112 142 161 95 142 129 148 162 125 162 125 132 140 126 157 232 200 188 158
2001 105 131 152 100 143 137 143 138 126 138 126 129 127 138 128 162 164 139 118
2002 96 125 127 64 134 115 122 128 110 128 110 100 117 136 120 136 124 150 119
2003 112 140 128 76 152 133 137 129 126 129 126 101 124 132 132 210 177 143 127
2004 96 109 122 57 127 116 128 119 102 119 102 101 114 125 116 186 179 159 127
2005 124 125 121 77 134 125 132 124 113 124 113 110 112 118 128 209 205 162 154
2006 100 121 127 73 139 134 134 113 100 113 100 106 108 127 125 176 152 135 122
2007 126 125 140 95 155 145 151 143 120 143 120 126 117 133 137 211 209 153 147
2008 122 146 142 101 169 169 161 155 129 155 129 128 140 146 116 231 194 167 169
2009 158 176 179 104 195 177 198 198 165 198 165 145 144 162 146 239 227 154 135
2010 109 110 102 69 121 110 117 112 97 112 97 94 101 118 146 163 175 120 115
2011 141 156 161 105 175 159 170 164 125 164 125 136 123 141 158 165 176 164 145
2012 85 104 110 67 120 116 125 117 106 117 106 97 90 91 123 193 189 228 204
2013 136 147 160 107 168 172 190 158 135 158 135 158 147 143 105 166 144 153 129
