Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300             
1970 3.17 3.26 3.57 3.13 3.44 3.53 3.39 3.52 3.54 3.52 3.54 3.46 3.76 3.99 3.58 2.79 2.85 2.56 2.76
1971 3.3 3.05 3.23 2.77 3.49 3.33 3.22 3.18 3.25 3.18 3.25 3.2 3.64 3.03 3.47 3.1 3.86 2.67 2.28
1972 4.31 3.84 4.61 3.38 4.13 4.34 4.23 3.59 3.63 3.59 3.63 3.15 4.04 4.11 3.51 2.66 3.04 1.99 2.44
1973 2.7 2.79 3.08 2.69 2.95 2.82 2.89 2.95 3.19 2.95 3.19 2.79 3.19 3.62 3.5 2.78 3.16 2.41 2.54
1974 3.17 3.16 3 2.87 3.22 2.93 2.79 2.77 2.87 2.77 2.87 2.83 3.42 3.51 3.19 2.77 3.16 2.43 2.54
1975 2.92 3.07 2.94 2.53 3.07 2.88 2.79 2.54 2.46 2.54 2.46 2.53 2.76 3.29 3.49 2.81 3.08 2.25 2.26
1976 3.58 3.36 3.14 3.82 3.51 3.49 3.2 3.02 3 3.02 3 3.12 3.45 3 3.23 3.4 3.49 2.57 2.51
1977 3.25 3.24 3.14 2.9 3.34 2.93 2.8 2.87 2.95 2.87 2.95 2.52 3.32 2.89 3.09 3.2 3.03 2.11 2.53
1978 3.59 3.28 3.22 3.04 3.19 3.39 3.29 3.02 2.97 3.02 2.97 3.24 3.52 4.12 4.13 2.78 3.32 2.97 2.65
1979 3.8 3.43 3.28 2.37 3.59 3.47 3.24 3.27 3.27 3.27 3.27 2.93 3.89 3.56 3.83 3.43 3.12 2.96 2.49
1980 3.34 3.24 3.49 3.46 3.35 3.25 3.14 3.44 3.24 3.44 3.24 3.25 4.1 3.81 3.79 3.11 2.99 2.68 2.58
1981 2.9 3.2 3.2 2.82 3.26 3.29 3.26 3.08 3.11 3.08 3.11 2.96 3.41 3.72 3.49 2.82 3.01 2.41 2.4
1982 3.27 3.22 3.23 3.06 3.27 3.03 3.34 3.12 3.23 3.12 3.23 2.91 3.44 3.56 3.97 3.31 3.06 2.59 2.84
1983 4.24 3.97 3.24 2.81 3.39 3.27 3.17 3.15 3.2 3.15 3.2 2.6 3.37 3.5 3.34 3.18 2.77 2.7 2.26
1984 3.78 3.64 3.54 3.43 3.57 3.47 3.57 3.44 3.14 3.44 3.14 3.07 3.06 3.53 3.65 3.52 3.37 2.77 2.34
