Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1970 2.26 1.98 1.8 1.75 NA NA NA 1.87 1.93 2.31 NA 1.57 1.57 2.31 NA NA 2.03 1.41 NA
1971 2.04 1.67 NA NA NA NA NA 1.68 1.81 1.62 NA 1.75 1.98 1.45 NA NA 1.87 1.64 NA
1972 2.26 2.19 2.03 1.71 NA NA NA 1.44 1.53 1.61 NA 1.87 1.75 1.52 NA NA 1.81 1.17 NA
1973 2.54 1.76 2.28 1.78 NA NA NA 1.69 2.22 1.99 NA 1.63 2.13 2.38 NA NA 1.48 1.62 NA
1974 2.04 1.86 1.93 1.56 2 NA NA 1.81 2.14 1.95 NA 1.2 1.66 2.21 NA 1.96 1.98 1.67 1.41
1975 2 1.81 2 1.53 1.73 NA NA 1.9 1.95 2.01 NA 1.14 2.09 1.86 2.46 1.72 2.1 1.71 1.55
1976 1.5 1.53 1.75 1.99 1.37 NA NA 1.47 1.97 1.37 NA 1.01 1.41 1.42 2.45 1.24 1.45 1.45 1.26
1977 1.62 1.54 1.98 1.48 1.71 NA NA 1.55 1.76 1.92 NA 1.43 2.26 1.89 2.4 1.5 1.53 1.31 0.87
1978 1.91 1.56 1.49 1.26 1.59 NA NA 1.73 1.78 1.98 NA 1.36 1.72 1.43 2.52 NA 1.85 1.86 1.71
1979 1.56 1.47 1.65 1.55 1.36 NA NA 1.73 1.79 1.76 NA 1.3 1.54 2.24 2.17 NA 1.83 1.71 1.56
1980 1.7 1.68 1.68 1.67 1.68 NA NA 2 1.96 2.11 NA 1.39 1.73 1.92 2.15 1.91 1.6 1.52 NA
1981 1.9 1.95 1.7 1.43 1.73 NA NA 2.2 2.03 1.96 NA 1.4 1.79 2.46 2.21 1.78 1.68 1.21 NA
1982 1.79 2.07 1.63 1.6 1.74 NA NA 1.9 NA 1.89 NA 1.31 2.27 2.64 NA NA 1.84 1.53 NA
1983 0.77 1.61 2.13 NA 1.9 NA NA 1.85 1.68 NA 2.75 1.16 2.1 1.88 1.96 NA 1.57 1.68 NA
1984 1.9 2.2 1.83 1.58 2.03 NA 2.75 2.28 2.08 2.2 2.34 1.58 2.22 2.43 2.1 1.95 1.38 1.29 NA
1985 2.34 1.91 2.4 2.13 1.95 2.35 3.35 2.32 2.6 2.4 2.33 2.08 2.41 2.48 2.84 1.41 1.66 1.24 1.01
1986 1.94 1.62 1.8 1.38 1.63 1.59 1.69 1.76 1.97 1.9 NA 1.63 2.26 2.04 2.54 1.63 NA 1.23 NA
1987 1.66 1.67 1.72 1.25 1.77 1.75 1.73 1.72 1.86 1.51 2.02 1.21 1.71 1.5 2.83 1.64 NA 1.59 1.5
1988 3.53 2.33 2.18 2.47 1.88 2.4 2.44 2.57 2.68 2.29 2.53 1.67 2.46 2.65 NA NA 1.82 1.67 NA
1989 2.36 1.99 2.21 1.47 2.15 NA 2.28 2.31 NA 2.05 2.28 1.35 2.15 1.57 NA 1.8 2.09 1.54 1.5
1990 2.28 2.33 2.03 1.62 2.17 2.06 NA 1.87 2.95 2.12 2.18 1.51 2.19 2.03 3.72 2.11 2.45 1.57 1.66
1991 1.84 2.15 2.03 1.67 NA 1.77 1.61 1.57 1.61 1.71 2.5 1.12 NA 1.54 2.05 1.82 1.57 1.68 1.32
1992 3.86 1.81 1.92 2.13 NA 2.21 1.97 1.79 2.17 1.92 2.15 1.39 1.96 1.97 2.31 1.92 1.94 1.42 1.27
1993 NA 1.86 1.83 NA 1.78 1.91 NA 1.95 NA NA 2.01 1.83 1.98 NA NA 1.49 1.37 NA 1.27
1994 2.16 2.45 2.21 2.01 NA 2.9 2.7 2.62 NA NA 2.87 2.12 2.82 NA 1.8 2.1 1.88 1.26 1.25
1995 2.09 1.71 1.8 1.92 2.21 2.16 1.82 1.88 2.09 1.78 2.58 NA 2.43 NA 1.76 1.59 1.28 NA 1.02
1996 NA NA 1.47 1.91 1.74 1.95 2.01 1.7 1.61 1.98 2.18 NA NA NA 2.66 1.8 1.57 NA 1.14
1997 NA NA 2.1 NA 2.09 3.06 2.05 1.99 NA NA 3.18 NA NA 2.44 2.31 1.84 2.51 NA 1.32
1998 NA NA 1.84 1.43 1.91 1.92 2.01 1.64 NA NA 2.04 NA NA 2.16 2.08 1.4 1.75 NA 1.66
1999 NA 2.46 2.44 1.73 2.05 3.16 NA 2.1 NA NA 2.63 NA NA 1.99 2.36 1.67 1.99 NA 1.93
2000 NA NA 1.99 1.34 1.71 1.52 2.08 2.05 NA NA 2.29 NA NA 1.97 2.48 1.46 1.94 NA 1.61
2001 NA 2.33 1.8 1.25 1.75 1.66 2.27 2.05 NA NA 2.31 NA NA NA 2.31 1.37 1.84 NA 1.05
2002 NA 2.84 2.05 1.57 2.3 2.22 2.48 2.1 NA NA 2.22 NA NA NA 2.34 2.05 2.11 NA 1.05
2003 NA 2.13 1.78 2.12 1.77 2.14 2.15 2.21 NA NA 2.03 NA NA NA 2.24 1.75 NA NA 0.61
2004 NA 1.8 2.26 1.69 NA 2.05 1.91 2.04 NA NA 2.68 NA NA NA NA NA NA NA 1.52
2005 NA NA 2 NA NA 2.11 0.92 1.71 NA NA 1.83 NA NA NA NA NA NA NA 1.32
2006 NA NA 2.07 1.59 NA 2.51 2.72 2.35 2.82 3.34 2.95 NA NA NA NA NA NA NA 2.2
2007 NA 2.32 2.44 2.14 NA 2.23 2.26 2.72 3.76 3.29 3.44 NA NA NA NA NA NA NA 1.73
2008 NA NA NA 2.21 NA 2.76 2.99 2.94 NA NA NA NA NA NA NA NA NA NA NA
2009 2.02 NA 1.91 1.94 NA 2.14 2.71 2.57 NA NA NA NA NA NA NA NA NA NA NA
2010 2.04 NA NA 2.37 NA 2.4 2.57 2.57 NA NA NA NA NA NA NA NA NA NA NA
2011 1.93 NA NA 2.09 NA 2.83 2.72 2.76 NA NA NA NA NA NA NA NA NA NA NA
2012 NA NA NA 2.06 2.29 2.14 2.4 1.91 NA NA 2.44 NA NA NA 2.8 1.9 NA NA 1.42
2013 2.17 NA NA 1.89 2.79 2.12 1.7 2.18 NA NA 2.7 NA NA NA 3.49 1.87 NA NA 1.69
