Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300
1970 18.8 21.8 18.4 24.7 NA NA NA 16.4 29.2 19.6 NA 17.6 11.6 28 NA NA 21.4 19 NA
1971 21.4 20.4 NA NA NA NA NA 14.2 12.8 17.6 NA 19 13.6 13.8 NA NA 19.6 19.2 NA
1972 16 18 18.6 15.4 NA NA NA 9.4 10.6 18 NA 21.6 24.6 11.6 NA NA 19.2 13.4 NA
1973 23.2 13.4 21.2 15.6 NA NA NA 19 59.9 30.2 NA 18.3 11 20.3 NA NA 17 17.6 5.6
1974 16.6 19.4 23.4 23.2 25.1 NA NA 23 14.6 14.2 NA 8 10.2 17.2 11.2 13.8 21 21.4 9.2
1975 16.6 25 14.2 15.6 12.4 NA NA 20.7 18.6 21.6 NA 9 27.4 12.8 27 15.4 22.2 17.4 17.4
1976 14 13.6 16.9 17.4 11.4 NA NA 12.2 19.2 9 NA 5.2 14.6 13.2 30 18.4 20.8 10.2 11.4
1977 9.8 15.6 15.8 13.2 21.2 NA NA 12 19.4 22 NA 15.4 22.8 14.4 23.2 22.8 11.6 12 10.8
1978 25.4 13 11.2 10.4 12.8 NA NA 14.9 9.4 22.6 NA 8.2 16.1 11.8 19.2 NA 18.6 17.4 21.8
1979 33.7 16.8 13.4 13.8 12.8 NA NA 14.8 16.2 20 NA 16.8 13.4 23.8 33.6 NA 20.2 12.8 15.8
1980 12.7 17.6 25.2 12 12.5 NA NA 44.9 14.2 18.1 NA 11.6 22.7 20.4 19.4 15.8 19.8 18 NA
1981 21.8 18.2 15.6 12.4 17.2 NA NA 24.8 20.6 16 NA 19.4 16.8 17.6 22.2 28.2 18.6 15 NA
1982 17.2 17.4 12 10.6 15.4 NA NA 22.8 NA 17.7 NA 9.5 21.8 41 NA NA 17.6 15.8 NA
1983 7 16.2 22.8 NA 18.6 NA NA 14.6 16.2 NA 28.6 10 19.2 20.6 15.2 NA 13.2 19.8 NA
1984 22.2 42.1 14.4 12.4 29.4 NA 28.1 24.8 18.4 25.8 23.6 21.4 21.6 29.7 44.7 17.8 15.6 16.8 11.5
1985 19.4 22.9 22.8 13.6 17.8 18 15 17.4 24.5 26 19.6 10.2 22.8 34.8 18.4 16 16.8 13.6 23.6
1986 12.6 12.8 15.5 12.8 13.4 14.3 19.9 19.8 15.4 15.3 NA 13.2 18.2 19 24.6 13.6 NA 6.8 NA
1987 16.8 16.6 13.4 8.4 21.2 11.4 17.5 15.4 16.4 19.4 19.2 11.2 15.2 16.2 52 20.4 NA 11.6 11.2
1988 35.8 17.2 14.8 12.4 17.2 23.9 22.7 39.7 19.4 22.2 19 18.8 21 34 NA NA 15.4 14.6 15
1989 15.2 17.2 16.6 7.8 13.6 NA 23.2 21.6 NA 12.8 15.6 11 16 18 NA 17.8 45.1 13.4 16.8
1990 17.4 19.4 22.6 8.8 16 15.3 NA 20.2 19.2 17.4 22.4 10.2 18.8 18 30 17.5 22 12.6 13.6
1991 17.2 15.4 15.4 13.2 NA 12.3 18.1 9.2 11 17.2 57.9 11 NA 16.2 13.4 29.4 24.6 13.4 20.4
1992 11.2 12.4 11.5 13 NA 19.9 13.3 31.4 23.5 21.8 16.2 10.8 11.4 21.6 21.6 17.4 21.1 13.4 23
1993 NA 25.8 15.2 NA 17.4 15.3 NA 18.2 NA NA 21.2 17.4 22.8 NA NA 16 15.2 NA 12.8
1994 10.2 12.9 16 11.4 11 15.7 15.1 13 NA NA 25 13 24.2 NA 21.2 23.8 16.6 13 15.4
1995 20.8 11.2 26.5 23.5 39.4 14.1 10.9 29.5 23.8 16.4 19.6 NA 15.8 NA 12.8 16.6 14.6 NA 12.8
1996 NA NA 22 18.6 12.4 40.3 34.1 30.1 14.8 18.7 21.2 NA NA NA 48.4 33.8 20.8 NA 13
1997 NA NA 27.5 NA 23.4 27.5 15 19.3 NA NA 37.8 NA NA 18.4 26.8 24.8 36.2 NA 23.6
1998 NA NA 14.4 8.8 17.2 11.2 13.9 12.4 NA NA 15.2 NA NA 24.6 14.8 12.2 15.8 NA 15.6
1999 NA 12.5 26.8 13.2 17.6 26.6 NA 28.2 NA NA 39.6 NA NA 18 20.2 12.2 14 NA 23
2000 NA 12 14.6 17.8 15 13.8 25.5 28 NA NA 25.2 NA NA 30.5 27.4 21.8 22 NA 17.6
2001 NA 15.9 23.5 19.8 25.8 12.1 17.3 18 NA NA 33.6 NA NA NA 41.2 16.2 19.2 NA 16.8
2002 NA 44.1 13.8 21.5 45.8 24.7 31.8 26.6 NA NA 27.2 NA NA NA 21.2 27.9 18 NA 14.8
2003 NA 21.7 12.2 12 18.4 15.3 14.4 23.3 NA NA 20 NA NA NA 20.4 18.2 14.6 NA 4.4
2004 NA 15.2 28.8 8.4 NA 18.8 18.2 23.4 NA NA 42.2 NA NA NA NA NA NA NA 15.2
2005 NA NA 17.2 NA NA 30.5 10 11.3 NA NA 15.4 NA NA NA NA NA NA NA 13.6
2006 NA NA 17.8 13.8 NA 32.5 28.4 20.2 24.1 33.4 25.2 NA NA NA NA NA NA NA 32.3
2007 NA 15.2 12.4 13.8 NA 17.8 18.9 24.6 57.2 45.2 18.2 NA NA NA NA NA NA NA 20.7
2008 NA NA NA 13.8 NA 30 31.1 29.8 NA NA NA NA NA NA NA NA NA NA NA
2009 13.6 NA 18 13.8 NA 12.5 21.1 19.4 NA NA NA NA NA NA NA NA NA NA NA
2010 15.6 NA NA 13.8 NA 36.2 19.1 19 NA NA NA NA NA NA NA NA NA NA NA
2011 18.5 NA NA 25.3 NA 23.2 20.7 31.7 NA NA NA NA NA NA NA NA NA NA NA
2012 12.7 NA NA 16.9 20.4 13.2 29.3 12.3 NA NA 16 NA NA NA 34.5 14.5 NA NA 10.9
2013 17.5 NA NA 12.5 16.9 15.2 12.5 21.8 NA NA 37.8 NA NA NA 34.8 14 NA NA 9.7
