Year pr3030 pr3810 pr4781 pr12290 pr17870 pr18020 pr18320 pr18701 pr19490 pr19510 pr19710 pr20300 pr26890 pr30310 pr39150 pr44730 pr47240 pr60940 pr64300     
1970 66 79 82 76 NA NA NA 86 33 60 NA 63 83 82 NA NA 105 95 NA
1971 57 51 NA NA NA NA NA 66 64 58 NA 53 76 64 NA NA 94 160 NA
1972 101 103 100 72 NA NA NA 60 76 83 NA 44 97 50 NA NA 114 84 NA
1973 68 82 93 75 NA NA NA 76 82 77 NA 64 81 67 NA NA 101 178 NA
1974 85 97 126 76 110 NA NA 99 95 84 NA 72 93 103 NA 126 153 170 114
1975 66 76 71 40 61 NA NA 61 35 45 NA 37 60 58 91 117 115 143 128
1976 37 45 27 37 39 NA NA 36 38 11 NA 28 36 37 51 57 79 44 91
1977 54 53 82 51 46 NA NA 67 59 61 NA 61 81 68 75 76 70 104 62
1978 62 77 80 64 76 NA NA 78 83 81 NA 60 88 79 106 NA 120 139 100
1979 65 40 89 73 81 NA NA 82 69 41 NA 66 79 88 87 NA 127 190 165
1980 85 15 102 95 101 NA NA 106 101 87 NA 71 94 90 99 117 122 109 NA
1981 68 74 65 66 72 NA NA 29 64 49 NA 50 78 89 35 112 118 67 NA
1982 62 73 30 44 78 NA NA 68 NA 31 NA 40 87 84 NA NA 135 132 NA
1983 16 78 77 NA 93 NA NA 95 50 NA 59 43 88 104 76 NA 121 161 NA
1984 76 83 82 65 87 NA 49 95 100 85 35 60 90 104 27 33 57 97 NA
1985 67 85 110 60 107 101 13 115 110 92 107 28 97 99 26 17 111 105 40
1986 72 51 82 63 37 70 32 69 69 68 NA 55 74 76 103 147 NA 60 NA
1987 97 91 122 77 133 80 69 96 100 97 122 66 88 58 124 102 NA 109 67
1988 25 111 71 44 10 109 89 104 109 107 107 85 107 116 NA NA 78 126 NA
1989 36 73 77 NA 66 NA 62 76 NA 71 84 42 62 48 NA 106 126 140 107
1990 54 61 76 NA 30 65 NA 65 NA 61 76 33 68 82 89 131 76 108 106
1991 66 74 82 65 NA 72 51 80 62 75 82 45 NA 66 23 106 90 151 130
1992 12 82 77 66 NA 34 61 69 81 65 81 49 73 77 35 146 142 128 89
1993 NA 49 83 NA 69 59 NA 79 NA NA 88 47 45 NA NA 71 66 NA 89
1994 15 40 68 55 NA 68 51 62 NA NA 69 42 50 NA 22 96 110 107 101
1995 64 61 71 55 88 53 58 75 80 47 81 NA 74 NA 57 85 60 NA 85
1996 NA NA 43 45 56 79 55 74 50 64 73 NA NA NA 74 100 92 NA 67
1997 NA NA 62 NA 73 103 49 81 NA NA 79 NA NA 32 64 112 94 NA 78
1998 NA NA 67 52 101 54 86 60 NA NA 85 NA NA 109 137 105 103 NA 227
1999 NA 39 97 74 94 49 NA 87 NA NA 127 NA NA 93 122 110 106 NA 178
2000 NA NA 105 75 95 56 55 87 NA NA 111 NA NA 102 103 92 120 NA 179
2001 NA 87 97 53 91 39 45 77 NA NA 86 NA NA NA 74 86 100 NA 70
2002 NA 96 73 48 77 69 80 89 NA NA 87 NA NA NA 100 97 87 NA 42
2003 NA 97 76 42 83 85 69 104 NA NA 90 NA NA NA 92 129 NA NA 15
2004 NA 95 82 31 NA 88 64 84 NA NA 130 NA NA NA NA NA NA NA 142
2005 NA NA 63 NA NA 87 22 46 NA NA 79 NA NA NA NA NA NA NA 131
2006 NA NA 98 45 NA 136 115 101 43 85 109 NA NA NA NA NA NA NA 92
2007 NA 39 70 42 NA 152 131 136 145 150 93 NA NA NA NA NA NA NA 155
2008 NA NA NA 38 NA 82 43 48 NA NA NA NA NA NA NA NA NA NA NA
2009 63 NA 47 99 NA 11 102 107 NA NA NA NA NA NA NA NA NA NA NA
2010 69 NA NA 72 NA 89 105 107 NA NA NA NA NA NA NA NA NA NA NA
2011 27 NA NA 123 NA 142 135 145 NA NA NA NA NA NA NA NA NA NA NA
2012 NA NA NA 77 118 108 105 101 NA NA 22 NA NA NA 112 168 NA NA 91
2013 68 NA NA 81 22 92 66 93 NA NA 89 NA NA NA 117 24 NA NA 88
