V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
Year 1220 2840 3030 3120 3810 4220 4781 11620 12290 12670 15720 17260 17870 17980 18020 18210 18269 18270 18320 18420 18640 18701 18702 18815 18920 19020 19490 19510 19710 20300 26890 27270 27450 27470 27580 30310 32100 36060 38130 39040 39150 40140 44190 44300 44660 44730 47240 47890 50480 52290 58700 60940 62290 64300 66830 68170 68230 69150 73490 81620 82260 89350 90400 97250 99370
1971 NA NA 21.4 NA 15.2 NA NA NA NA 11.8 5.6 NA NA NA NA NA NA NA NA NA NA 11.4 NA NA NA NA 12.8 11 NA 19 12.2 NA NA NA NA 9 13 11.6 NA NA NA NA NA NA NA NA 13.6 20 NA 9.4 9.6 11.4 NA NA 7.6 9.2 NA NA 12 14 NA 9 NA 12.2 27.8
1972 NA NA 11.4 NA 17 NA 18.6 NA 15 11.2 9.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.2 17 NA 21.6 23.6 NA NA 25 NA NA 24.6 31.4 NA NA NA 14 NA NA NA NA 18.2 48.7 NA 15.6 6 9.4 NA NA 12.2 7.8 NA NA 6.2 11.6 NA NA NA 12.8 8.8
1973 NA 12.8 17.3 NA 12.8 NA 19 NA 15 15 4 NA NA NA NA NA NA NA NA NA NA 14.8 NA NA NA NA 59.9 26.6 NA 17.1 10.8 NA NA 22.8 NA 18.7 15.8 27.2 NA NA NA 15.9 NA NA NA NA 10 24.6 NA 20.6 13.2 9.4 NA NA 14.4 8.4 NA NA 7.4 11.2 NA 11.5 NA 8.4 7.8
1974 16.4 17.8 16.4 NA 15 NA 21.6 NA 19 12.2 8 15.6 19.5 NA NA NA NA 11.6 NA NA 10 23 NA NA NA NA 14.6 13.8 NA 6.4 10.2 NA NA 11.4 14.4 11.6 12.8 11.4 NA NA NA 12.8 NA NA NA NA 21 22.8 NA 28.9 11.6 10.4 10.8 9.2 NA 10.8 NA NA 17.2 10.2 NA 10.4 NA 13.6 19.7
1975 15.8 14.8 14.2 NA 18.4 NA 14.2 11.4 11 10.8 8.2 10 11.6 NA NA NA NA 16.4 NA NA 19.3 20.7 NA NA NA NA 12.4 21.6 NA 8.2 27.4 NA NA 17.8 18.9 11.8 19.6 29 34.1 NA 23.9 12.6 NA NA NA 11.6 22.2 29 NA 22.8 9.8 16 12.4 14.4 8.6 16.4 NA NA 12.9 7.4 NA 6.4 NA 12.6 8
1976 8.2 24.8 8.2 NA 8.2 12.4 14.5 19.6 16.8 17 10.4 5.6 8.6 NA NA NA NA 11.6 NA NA 28.8 12.2 NA NA NA NA 16.8 8 NA 3.6 14.6 NA NA 11.6 16.1 8.6 32.4 13.8 19.6 NA 25.8 8.2 NA NA NA 16 14.2 22.6 NA 12 13.4 9.6 15.2 8.8 14.6 11.8 NA NA 9.4 10.6 NA 6.4 NA 7.2 NA
1977 6.4 11 8.4 NA 10.8 11.2 15.8 21.1 12.4 14 4.6 13.2 13.2 NA NA NA NA 11.8 NA NA 11.2 11.4 NA NA NA NA 12.8 20.6 NA 10.8 18.6 NA NA 15.4 14.4 11 16.6 15.4 16 NA 23.2 10.2 NA NA NA 22 11.6 28.6 NA 14.4 10.2 10.8 3.2 7.2 9 11 NA NA 9.4 14 NA 10.2 NA 7.4 10.2
1978 17.2 14.4 21.6 NA 11.4 10.8 9.6 8.2 10.4 13.2 8.6 9.8 11.4 NA NA NA NA 11 NA NA 28.3 10.9 NA NA NA NA 9 18 NA 7.8 16.1 NA NA 14.8 10.6 11.8 20.6 20.6 57.4 NA 15.4 17.8 NA NA NA NA 13.8 34.6 NA 20.8 14 13.4 NA 21.8 11.2 12.4 NA NA 8.4 5.4 NA 6.4 NA 15.4 13.4
1979 9.4 10.6 32.3 NA 14.4 14 10.8 15 9.5 12.4 12 13.8 10.4 NA NA NA NA 17.6 NA NA 12.8 14.8 NA NA NA NA 14 18.8 NA 16.8 10.2 NA NA 22.6 11.2 23.8 20.6 11.8 12 NA 28 25.8 NA NA NA NA 17.4 29.2 NA 26 11.4 11.6 12.2 14.8 20.4 10.6 NA NA 17.6 11 NA 11 NA 9.4 NA
1980 13 29.1 12.7 NA 14.6 15.9 24.6 10.6 10.6 14 15.4 22.9 11.4 NA NA NA NA 20.4 NA NA 11.8 41.9 NA NA NA NA 14.2 15.3 NA 11.6 20.1 NA NA 22.8 12.8 17.4 21.6 20.6 16.4 NA 19 20.8 NA NA NA 15.5 16 22.8 NA 16.4 5.2 18 12.8 NA 10.6 9.4 NA NA 9.8 9.6 NA 7.2 NA 7 5.2
1981 12.4 40.6 17.4 NA 18.2 28.4 14.5 22.8 11.4 9.8 NA 29.6 12.8 NA NA NA NA 29.7 NA NA 24.7 23.8 NA NA NA NA 16.6 13.4 NA 19.4 16.8 NA NA 18.4 15.2 17.6 13.4 18.4 28.1 NA 22.2 19.6 NA NA NA 24 18.6 19.8 NA 7.2 14.2 10 9.6 NA NA 7.4 NA NA NA 8.6 NA 16 NA 17.8 8.6
1982 20.4 16.2 17.2 NA 15.8 10.6 12 9 10 13.8 9 22.2 14.4 NA NA NA NA 24.2 NA NA 14.2 16.6 NA NA NA NA NA 17.7 NA 8.8 17 NA NA 12.2 NA 33.1 18.4 20.4 18 NA NA NA NA NA NA NA 17.6 26.4 NA 23.2 10.6 12.8 17.4 NA 13 13.8 NA NA 6.8 NA NA 8.6 NA 10.2 10.4
1983 NA 11.8 7 NA 15.8 12 20.2 NA NA 7 12 9.6 18.6 NA NA NA NA 15.2 NA NA 14.2 14.6 NA NA NA NA 15.8 NA NA 7.2 15.6 NA NA 15 19 20.4 10 27.8 22.2 NA 14.8 NA NA NA 18.2 NA 10.8 32.2 NA 26.6 14.2 17.8 14.2 NA 27.4 11.6 NA NA NA NA NA 7.8 NA 4 17.4
