V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 V25 V26 V27 V28 V29 V30 V31 V32 V33 V34 V35 V36 V37 V38 V39 V40 V41 V42 V43 V44 V46 V47 V48 V49 V50 V51 V52 V53 V54 V55 V56 V57 V58 V59 V60 V61 V63 V64 V65 V66 V67 V68 V69
Year 1220 2840 3030 3120 3810 4220 4781 11620 12290 12670 15720 17260 17870 17980 18020 18210 18269 18270 18320 18420 18640 18701 18702 18815 18920 19020 19490 19510 19710 20300 26890 27270 27450 27470 27580 30310 32100 36060 38130 39040 39150 40140 44190 44300 44660 44730 47240 47890 50480 52290 58700 60940 62290 64300 66830 68170 68230 69150 73490 81620 82260 89350 90400 97250 99370
1971 NA NA 3.03 NA 2.97 NA NA NA NA 2.59 1.43 NA NA NA NA NA NA NA NA NA NA 2.43 NA NA NA NA 2.68 2.54 NA 2.78 2.78 NA NA NA NA 2.43 2.81 2.66 NA NA NA NA NA NA NA NA 2.71 3.2 NA 2.56 1.67 2.36 NA NA 1.86 2.01 NA NA 1.66 2.11 NA 1.72 NA 1.72 2.58
1972 NA NA 3 NA 3.03 NA 2.9 NA 2.45 2.2 1.93 NA NA NA NA NA NA NA NA NA NA 2.04 NA NA NA NA 2.2 2.38 NA 2.76 2.59 NA NA 3.32 NA 2.22 2.84 3.3 NA NA NA 3.15 NA NA NA NA 2.75 3.97 NA 2.77 1.79 1.98 NA NA 2.15 1.95 NA NA 1.99 2.25 NA NA NA 2.02 1.75
1973 NA 2.53 3.46 NA 2.57 NA 3.16 NA 2.61 2.75 1.52 NA NA NA NA NA NA NA NA NA NA 2.53 NA NA NA NA 3.4 2.94 NA 2.21 2.92 NA NA 4.2 NA 3.48 2.99 3.84 NA NA NA 2.78 NA NA NA NA 2.32 3.76 NA 3.05 2.09 2.18 NA NA 2.09 2.17 NA NA 1.9 2.11 NA 1.66 NA 2.01 1.75
1974 2.81 2.47 2.78 NA 2.76 NA 2.67 NA 2.57 2.31 1.68 3.26 2.82 NA NA NA NA 2.65 NA NA 2.3 2.59 NA NA NA NA 2.88 2.9 NA 1.78 2.48 NA NA 2.81 2.55 3.14 2.77 3.5 NA NA NA 2.62 NA NA NA NA 3.03 3.71 NA 3.38 1.98 2.35 2.17 2.19 NA 2.13 NA NA 1.96 1.84 NA 1.68 NA 2.14 2.25
1975 2.95 2.59 2.73 NA 2.87 NA 3.05 2.54 2.3 2.29 1.86 3 2.5 NA NA NA NA 2.68 NA NA 2.92 2.92 NA NA NA NA 3.15 2.98 NA 1.93 3.14 NA NA 3.07 3.42 3.03 2.79 3.46 3.55 NA 3.65 3.17 NA NA NA 2.55 3.14 3.52 NA 4.03 1.93 2.5 2.46 2.3 1.95 2.05 NA NA 1.89 1.66 NA 1.5 NA 2.26 1.96
1976 2.25 2.55 2.14 NA 2.32 2.24 2.65 3.02 3.25 2.35 2.31 1.94 1.85 NA NA NA NA 2.45 NA NA 2.55 2.15 NA NA NA NA 2.9 1.96 NA 1.43 2.04 NA NA 2.6 3.08 2.38 2.5 2.75 3.32 NA 3.96 2.02 NA NA NA 2.13 2.36 3.4 NA 2.43 2.37 2.09 2.68 2.06 1.79 1.92 NA NA 1.89 1.83 NA 1.56 NA 2.26 NA
1977 2.31 2.4 2.37 NA 2.49 2.52 2.75 2.58 2.19 2.04 1.34 3.3 2.57 NA NA NA NA 2.88 NA NA 2.17 2.35 NA NA NA NA 2.49 2.81 NA 2.29 3.32 NA NA 3.11 2.8 2.88 2.68 3.44 3.54 NA 3.49 2.58 NA NA NA 2.4 2.29 3.58 NA 2.84 2.32 2.04 1.38 1.48 2.02 1.95 NA NA 1.92 1.66 NA 1.34 NA 1.7 2.16
1978 2.64 2.55 2.93 NA 2.41 2.39 2.32 2.12 2.06 2.01 1.93 2.38 2.6 NA NA NA NA 2.66 NA NA 2.62 2.8 NA NA NA NA 2.57 3.04 NA 2.08 2.56 NA NA 2.88 2.63 2.37 2.67 2.85 3.63 NA 3.53 2.63 NA NA NA NA 2.84 3.76 NA 3.27 2.29 2.57 NA 2.57 2.2 2.3 NA NA 1.66 1.59 NA 1.39 NA 1.9 2.02
1979 2.52 2.45 2.28 NA 2.62 2.24 2.56 2.56 2.26 2.4 2.08 2.32 2.27 NA NA NA NA 2.71 NA NA 2.51 2.72 NA NA NA NA 2.46 2.93 NA 2.13 2.23 NA NA 2.7 2.03 3.42 3.22 2.97 2.81 NA 3.78 2.86 NA NA NA NA 2.75 3.92 NA 3.4 2.16 2.39 2.74 2.3 2.16 1.87 NA NA 2.09 1.86 NA 1.49 NA 2.21 NA
