ID X Y
200 12.2498 61.3263
1220 11.3759 59.1231
2840 11.4417 59.7139
3015 11.032 59.1895
3030 10.9632 59.2307
3120 11.0207 59.2597
3190 11.1128 59.2852
3810 11.166 59.5872
4220 11.0472 59.9775
4781 11.0743 60.1883
6760 10.8667 61.2333
11620 10.6632 60.8
12290 11.0977 60.801
12670 10.4742 61.1208
15720 7.86 61.9067
17005 10.8487 59.1735
17030 10.75 59.2648
17150 10.798 59.3742
17260 10.6887 59.4493
17870 10.8 59.6667
17980 10.8236 59.8427
18020 10.7857 59.8783
18210 10.804 59.923
18269 10.905 59.954
18270 10.9333 59.9667
18320 10.7545 59.9305
18420 10.7903 59.9463
18640 10.7285 59.91
18701 10.7201 59.9423
18702 10.7201 59.9427
18815 10.6826 59.9048
18920 10.7037 59.957
18980 10.6343 59.9203
19020 10.6587 59.9677
19490 10.5162 59.9063
19510 10.6223 59.94
19710 10.4345 59.8562
20300 10.2478 60.15
24870 9.1333 60.5667
24880 9.122 60.5685
26890 10.202 59.7372
26999 10.2385 59.6668
27270 10.4312 59.278
27460 10.408 59.2243
27470 10.2553 59.1845
27564 10.2025 59.1505
27580 10.2535 59.1238
30270 9.678 59.141
30310 9.5983 59.1905
30320 9.5895 59.1992
32100 9.1723 59.3885
36060 8.7595 58.468
38130 8.5833 58.3383
39150 8.0527 58.1505
39200 7.9968 58.1457
39201 7.9383 58.1095
39260 7.9778 58.2803
40140 7.5 59.1
40490 6.8778 59.3348
40500 6.9 59.3728
44190 5.7402 58.736
44580 5.6697 58.9482
44620 5.6847 58.9875
44640 5.73 58.9572
44660 5.7193 58.9987
44730 5.7592 58.8662
47240 5.2632 59.2693
47890 6.0167 59.8581
50480 5.2798 60.2918
50490 5.2798 60.2918
52290 5.9533 60.841
52300 5.9333 60.8333
54730 8.1509 61.1779
58700 7.2267 61.9333
60940 6.3473 62.4658
62290 7.2246 62.7423
63420 8.5588 62.675
63500 9.1 62.55
64300 7.7043 63.1252
66830 10.25 62.6167
68170 10.4303 63.4225
68190 10.4258 63.396
68230 10.4228 63.3987
68863 10.4535 63.4107
71000 11.4508 64.0225
72850 12.2667 64.6
73490 13.7167 64.45
80200 13.1872 66.3897
81620 15.3 66.9667
82090 15.3968 67.2627
82310 14.4222 67.3067
84710 17.4667 68.45
89350 18.5437 69.0577
97250 25.4817 69.4683
99370 29.8976 69.7255
