Stnr	Year	RR
11620	1957	NA
11620	1958	NA
11620	1959	NA
11620	1960	NA
11620	1961	NA
11620	1962	NA
11620	1963	NA
11620	1964	NA
11620	1965	NA
11620	1966	NA
11620	1967	NA
11620	1968	NA
11620	1969	NA
11620	1970	NA
11620	1971	NA
11620	1972	NA
11620	1973	NA
11620	1974	NA
11620	1975	NA
11620	1976	NA
11620	1977	NA
11620	1978	NA
11620	1979	NA
11620	1980	NA
11620	1981	NA
11620	1982	NA
11620	1983	NA
11620	1984	NA
11620	1985	NA
11620	1986	NA
11620	1987	NA
11620	1988	NA
11620	1989	NA
11620	1990	NA
11620	1991	NA
11620	1992	NA
11620	1993	NA
11620	1994	NA
11620	1995	NA
11620	1996	NA
11620	1997	NA
11620	1998	NA
11620	1999	NA
11620	2000	NA
11620	2001	NA
11620	2002	NA
11620	2003	NA
11620	2004	NA
11620	2005	NA
11620	2006	NA
11620	2007	NA
11620	2008	NA
11620	2009	NA
11620	2010	NA
11620	2011	NA
