Stnr North East loc scale
11620 6748310 264085 8.32544750123692 2.53949837404846
1220 6559392 292596 7.8403638649865 2.70777820317087
12290 6746937 287708 7.21381609210065 2.84726239060255
12670 6784678 256284 7.14997983953025 2.84260811945354
15720 6884414 125425 4.20802704336381 1.40922581637739
17260 6598006 255652 9.03812303766836 4.17226321589657
17870 6621780 263485 10.2383690705093 4.01163942064403
17980 6641271 266048 10.1444938951093 3.55543866678542
18020 6645365 264179 8.78874414233804 4.47706325959159
18210 6650271 265518 12.334304497428 4.50309731582094
18270 6654680 273036 8.12590907600722 3.66745236265958
18320 6651281 262808 9.82656630014355 5.31865033320384
18640 6649095 261209 9.17443316957405 4.05032207721076
18701 6652714 260972 10.1524454609697 4.06097434766725
19020 6655766 257732 10.3147323748622 4.39370283578542
19490 6649469 249325 9.76579719796365 3.74699150724589
19510 6652819 255499 10.3926506560549 3.38550637614156
19710 6644200 244376 9.96612690472118 2.23293832363216
20300 6677610 236287 6.52460239090559 2.63577002745985
24880 6729127 178073 5.92056800183155 2.20326556471983
26890 6631902 230414 8.73543353823663 2.23391945172895
27270 6579935 239763 12.3396633770439 3.40463905782735
27470 6570241 229013 10.3978465571708 3.55508228033878
27580 6563500 228429 9.14472625562999 2.88552267584009
2840 6624918 299878 10.0342066182218 2.62984205151712
30270 6567898 195698 8.5134407295155 4.12397011302134
3030 6572716 269721 8.64052226838316 4.12728236877612
30310 6573765 191593 8.89035118277577 2.86606390813738
32100 6597809 169240 10.2962467003219 3.49284049891953
36060 6497731 136278 10.3097904572876 3.92078598161639
3810 6611689 283569 8.78104121572644 2.76193402745429
38130 6484294 124651 9.82037451923773 4.34097877505898
39150 6466542 91520 10.092802523113 4.70933978265195
40140 6575336 70940 8.22330069127128 3.02165082890019
4220 6655496 279460 7.78681014670305 3.22719982865729
44190 6547733 -34980 9.65374918137679 3.4716504832625
44580 6571781 -35735 7.12106609598639 2.60700105476009
44660 6576971 -32116 7.83827520175789 3.02017786629343
44730 6561990 -31881 9.25543780569338 2.40001282921014
47240 6610633 -53742 8.88927839270251 2.52139787753392
4781 6678855 282365 9.38944553913059 4.75159238411229
47890 6669759 -2184 12.7048110010658 2.51475983794745
50480 6723546 -36069 6.87299956504406 3.43202521313984
52290 6779009 9336 8.77368461193043 2.97336333474967
58700 6891186 92666 5.05183653020264 1.21559520752934
60940 6955969 54704 6.1397573250025 2.3338029961359
62290 6980852 103398 6.70432288882796 1.75273150827348
63500 6949321 196868 4.64107455290902 0.923474423601606
64300 7020442 132627 6.4468268010852 2.74614760188995
66830 6951857 256412 7.15685023463392 3.17231631180408
68170 7040801 272030 6.2692600326166 2.2307301123623
68190 7037870 271595 6.29108445249484 1.8240349372577
68230 7038181 271467 6.81326052473659 2.98086714296568
72850 7166695 369214 6.78088731921697 2.2980505787104
73490 7147784 438246 5.41277779815773 2.55976630191342
81620 7427699 513099 4.98993909737559 2.23526105765686
89350 7664878 641289 4.54476811736285 2.20896418605479
97250 7741699 908546 6.39610882758767 2.20879975972086
99370 7805409 1071181 4.84556730106545 2.12644686424814
12550 6744837 271629 9.39302017644557 3.65323067296295
180 6798632 353846 9.44660751510723 3.86749562406635
27450 6574925 234673 13.7473083394746 5.3244154055473
39040 6471890 93495 11.4682935313951 4.70532252106141
40880 6628898 70721 8.1484432544332 2.79493730696286
44300 6551167 -39759 11.9258019334843 3.8527298664193
68860 7039394 273111 7.10625303118856 2.38331711281246
69150 7046589 294886 6.33784923982591 1.62526014099717
82260 7463301 476365 7.55225613310716 1.46722560266823
90400 7731942 651477 5.78489329277934 1.61140681482178
