
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 63420   170518  6965858   8.5588  62.6750 1978                   8.4
 63420   170518  6965858   8.5588  62.6750 1979                   4.8
 63420   170518  6965858   8.5588  62.6750 1980                   8.7
 63420   170518  6965858   8.5588  62.6750 1981                   5.0
 63420   170518  6965858   8.5588  62.6750 1982                   5.2
 63420   170518  6965858   8.5588  62.6750 1983                   4.8
 63420   170518  6965858   8.5588  62.6750 1984                   8.8
 63420   170518  6965858   8.5588  62.6750 1985                   7.8
 63420   170518  6965858   8.5588  62.6750 1986                   6.4
 63420   170518  6965858   8.5588  62.6750 1987                   4.6

10 rows selected.

