
  STNR     EAST    NORTH      LON      LAT YEAR                  RR_1
------ -------- -------- -------- -------- -------------------- -----
 99370  1071181  7805409  29.8977  69.7255 1968                   2.4
 99370  1071181  7805409  29.8977  69.7255 1969                   3.8
 99370  1071181  7805409  29.8977  69.7255 1970                   5.2
 99370  1071181  7805409  29.8977  69.7255 1971                  18.0
 99370  1071181  7805409  29.8977  69.7255 1972                   6.0
 99370  1071181  7805409  29.8977  69.7255 1973                   4.6
 99370  1071181  7805409  29.8977  69.7255 1974                  13.7
 99370  1071181  7805409  29.8977  69.7255 1975                   4.6
 99370  1071181  7805409  29.8977  69.7255 1977                   6.2
 99370  1071181  7805409  29.8977  69.7255 1978                   6.2
 99370  1071181  7805409  29.8977  69.7255 1980                   4.8
 99370  1071181  7805409  29.8977  69.7255 1981                   4.6
 99370  1071181  7805409  29.8977  69.7255 1982                   5.2
 99370  1071181  7805409  29.8977  69.7255 1983                   9.0
 99370  1071181  7805409  29.8977  69.7255 1984                   2.6
 99370  1071181  7805409  29.8977  69.7255 1985                   8.5
 99370  1071181  7805409  29.8977  69.7255 1987                   6.8

