
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 27564   225728  6566677  10.2025  59.1505 1998                 12     23     16       1.4
 27564   225728  6566677  10.2025  59.1505 1998                 12     25     04       1.8
 27564   225728  6566677  10.2025  59.1505 1998                 12     26     03       1.5
 27564   225728  6566677  10.2025  59.1505 1998                 12     26     07       1.8
 27564   225728  6566677  10.2025  59.1505 1998                 12     26     08       1.8
 27564   225728  6566677  10.2025  59.1505 1998                 12     27     03       2.9
 27564   225728  6566677  10.2025  59.1505 1998                 12     27     04       4.8
 27564   225728  6566677  10.2025  59.1505 1998                 12     27     05       3.0
 27564   225728  6566677  10.2025  59.1505 1998                 12     28     06       2.9
 27564   225728  6566677  10.2025  59.1505 1998                 12     28     07       1.5
 27564   225728  6566677  10.2025  59.1505 1999                 04     16     19       5.9
 27564   225728  6566677  10.2025  59.1505 1999                 07     14     07      18.4
 27564   225728  6566677  10.2025  59.1505 1999                 07     14     09      19.2
 27564   225728  6566677  10.2025  59.1505 1999                 07     14     10      17.6
 27564   225728  6566677  10.2025  59.1505 1999                 07     21     01       7.6
 27564   225728  6566677  10.2025  59.1505 1999                 08     27     04       5.9
 27564   225728  6566677  10.2025  59.1505 1999                 09     25     09       8.3
 27564   225728  6566677  10.2025  59.1505 1999                 09     26     19       7.0
 27564   225728  6566677  10.2025  59.1505 1999                 12     10     04       6.6
 27564   225728  6566677  10.2025  59.1505 1999                 12     24     19       5.8
 27564   225728  6566677  10.2025  59.1505 2000                 05     27     16       6.5
 27564   225728  6566677  10.2025  59.1505 2000                 06     21     12       7.2
 27564   225728  6566677  10.2025  59.1505 2000                 06     30     15       6.4
 27564   225728  6566677  10.2025  59.1505 2000                 07     13     16       7.3
 27564   225728  6566677  10.2025  59.1505 2000                 07     19     18       5.3
 27564   225728  6566677  10.2025  59.1505 2000                 08     20     00       5.5
 27564   225728  6566677  10.2025  59.1505 2000                 08     20     01       7.6
 27564   225728  6566677  10.2025  59.1505 2000                 08     30     13       5.6
 27564   225728  6566677  10.2025  59.1505 2000                 12     07     04       6.2
 27564   225728  6566677  10.2025  59.1505 2000                 12     13     06       5.1
 27564   225728  6566677  10.2025  59.1505 2001                 07     08     20      11.8
 27564   225728  6566677  10.2025  59.1505 2001                 07     12     00       7.5
 27564   225728  6566677  10.2025  59.1505 2001                 08     03     18       7.1
 27564   225728  6566677  10.2025  59.1505 2001                 08     03     19      10.6
 27564   225728  6566677  10.2025  59.1505 2001                 08     08     16       9.1
 27564   225728  6566677  10.2025  59.1505 2001                 08     08     17       8.9
 27564   225728  6566677  10.2025  59.1505 2001                 08     16     16      18.8
 27564   225728  6566677  10.2025  59.1505 2001                 10     01     11       8.4
 27564   225728  6566677  10.2025  59.1505 2001                 10     01     12      11.5
 27564   225728  6566677  10.2025  59.1505 2001                 10     07     09       7.1
 27564   225728  6566677  10.2025  59.1505 2002                 06     15     13       7.5
 27564   225728  6566677  10.2025  59.1505 2002                 06     15     14      14.6
 27564   225728  6566677  10.2025  59.1505 2002                 06     15     15       6.5
 27564   225728  6566677  10.2025  59.1505 2002                 06     18     23       6.1
 27564   225728  6566677  10.2025  59.1505 2002                 07     10     03       6.9
 27564   225728  6566677  10.2025  59.1505 2002                 07     10     23       7.9
 27564   225728  6566677  10.2025  59.1505 2002                 08     12     00       9.2
 27564   225728  6566677  10.2025  59.1505 2002                 09     04     23      10.5
 27564   225728  6566677  10.2025  59.1505 2002                 09     07     22       6.0
 27564   225728  6566677  10.2025  59.1505 2002                 09     08     00       8.1
 27564   225728  6566677  10.2025  59.1505 2003                 04     01     11       3.0
 27564   225728  6566677  10.2025  59.1505 2003                 11     15     16       3.2
 27564   225728  6566677  10.2025  59.1505 2003                 11     16     00       3.1
 27564   225728  6566677  10.2025  59.1505 2003                 11     30     05       3.0
 27564   225728  6566677  10.2025  59.1505 2003                 11     30     06       5.3
 27564   225728  6566677  10.2025  59.1505 2003                 11     30     19       4.8
 27564   225728  6566677  10.2025  59.1505 2003                 11     30     20       4.5
 27564   225728  6566677  10.2025  59.1505 2003                 11     30     21       3.6
 27564   225728  6566677  10.2025  59.1505 2003                 12     13     11       3.4
 27564   225728  6566677  10.2025  59.1505 2003                 12     13     12       3.7


