
  STNR     EAST    NORTH      LON      LAT YEAR                 MONTH  DAY    TIME    RR_1
------ -------- -------- -------- -------- -------------------- ------ ------ ------ -----
 44660   -32116  6576971   5.7193  58.9987 1982                 09     19     05       7.8
 44660   -32116  6576971   5.7193  58.9987 1982                 09     26     19       7.6
 44660   -32116  6576971   5.7193  58.9987 1982                 10     19     16       6.0
 44660   -32116  6576971   5.7193  58.9987 1982                 10     19     17       5.8
 44660   -32116  6576971   5.7193  58.9987 1982                 10     22     18       5.6
 44660   -32116  6576971   5.7193  58.9987 1982                 10     22     19       6.4
 44660   -32116  6576971   5.7193  58.9987 1982                 10     22     20       9.6
 44660   -32116  6576971   5.7193  58.9987 1982                 10     22     21       6.0
 44660   -32116  6576971   5.7193  58.9987 1982                 11     24     02       5.6
 44660   -32116  6576971   5.7193  58.9987 1982                 12     19     17       6.4
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     03       4.4
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     05       4.6
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     09       5.0
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     10       7.2
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     11       6.0
 44660   -32116  6576971   5.7193  58.9987 1983                 07     18     12       5.4
 44660   -32116  6576971   5.7193  58.9987 1983                 09     05     15       4.8
 44660   -32116  6576971   5.7193  58.9987 1983                 09     09     21       4.4
 44660   -32116  6576971   5.7193  58.9987 1983                 09     17     19       5.2
 44660   -32116  6576971   5.7193  58.9987 1983                 09     19     18       4.2
 44660   -32116  6576971   5.7193  58.9987 1984                 08     30     19       5.0
 44660   -32116  6576971   5.7193  58.9987 1984                 09     19     08       7.8
 44660   -32116  6576971   5.7193  58.9987 1984                 09     22     05      10.4
 44660   -32116  6576971   5.7193  58.9987 1984                 10     10     23       4.8
 44660   -32116  6576971   5.7193  58.9987 1984                 10     11     00       4.6
 44660   -32116  6576971   5.7193  58.9987 1984                 10     13     20       4.8
 44660   -32116  6576971   5.7193  58.9987 1984                 10     18     16       4.6
 44660   -32116  6576971   5.7193  58.9987 1984                 10     20     00       5.6
 44660   -32116  6576971   5.7193  58.9987 1984                 10     30     00       4.6
 44660   -32116  6576971   5.7193  58.9987 1984                 11     27     22       4.8
 44660   -32116  6576971   5.7193  58.9987 1985                 07     20     19      13.1
 44660   -32116  6576971   5.7193  58.9987 1985                 08     09     21      16.2
 44660   -32116  6576971   5.7193  58.9987 1985                 08     21     03       6.4
 44660   -32116  6576971   5.7193  58.9987 1985                 09     03     22       9.0
 44660   -32116  6576971   5.7193  58.9987 1985                 09     19     09       6.0
 44660   -32116  6576971   5.7193  58.9987 1985                 09     19     10       6.2
 44660   -32116  6576971   5.7193  58.9987 1985                 10     07     02       7.2
 44660   -32116  6576971   5.7193  58.9987 1985                 10     07     03       6.6
 44660   -32116  6576971   5.7193  58.9987 1985                 10     07     06       6.8
 44660   -32116  6576971   5.7193  58.9987 1985                 11     09     08       6.2
 44660   -32116  6576971   5.7193  58.9987 1986                 03     22     14       5.0
 44660   -32116  6576971   5.7193  58.9987 1986                 03     22     15       4.0
 44660   -32116  6576971   5.7193  58.9987 1986                 03     22     18       5.0
 44660   -32116  6576971   5.7193  58.9987 1986                 03     22     19       5.2
 44660   -32116  6576971   5.7193  58.9987 1986                 05     21     10       5.4
 44660   -32116  6576971   5.7193  58.9987 1986                 06     04     19       4.8
 44660   -32116  6576971   5.7193  58.9987 1986                 06     11     00       4.6
 44660   -32116  6576971   5.7193  58.9987 1986                 07     17     06       5.6
 44660   -32116  6576971   5.7193  58.9987 1986                 07     29     17       4.2
 44660   -32116  6576971   5.7193  58.9987 1986                 08     01     06       5.0
 44660   -32116  6576971   5.7193  58.9987 1987                 04     19     22       3.4
 44660   -32116  6576971   5.7193  58.9987 1987                 05     02     20       3.0
 44660   -32116  6576971   5.7193  58.9987 1987                 06     30     04       3.2
 44660   -32116  6576971   5.7193  58.9987 1987                 10     10     00       3.2
 44660   -32116  6576971   5.7193  58.9987 1987                 10     17     05       3.4
 44660   -32116  6576971   5.7193  58.9987 1987                 11     17     21       5.4
 44660   -32116  6576971   5.7193  58.9987 1987                 11     19     04       3.2
 44660   -32116  6576971   5.7193  58.9987 1987                 11     19     19       3.2
 44660   -32116  6576971   5.7193  58.9987 1987                 11     21     07       3.6
 44660   -32116  6576971   5.7193  58.9987 1987                 11     21     08       5.2
 44660   -32116  6576971   5.7193  58.9987 1988                 07     05     09       9.0
 44660   -32116  6576971   5.7193  58.9987 1988                 07     08     15      19.5
 44660   -32116  6576971   5.7193  58.9987 1988                 07     08     16      17.2
 44660   -32116  6576971   5.7193  58.9987 1988                 07     08     21      16.8
 44660   -32116  6576971   5.7193  58.9987 1988                 07     08     22       6.0
 44660   -32116  6576971   5.7193  58.9987 1988                 07     17     15       5.6
 44660   -32116  6576971   5.7193  58.9987 1988                 09     23     03       8.8
 44660   -32116  6576971   5.7193  58.9987 1988                 09     30     01       5.8
 44660   -32116  6576971   5.7193  58.9987 1988                 10     07     06       5.8
 44660   -32116  6576971   5.7193  58.9987 1988                 10     09     16      12.6
 44660   -32116  6576971   5.7193  58.9987 1989                 02     15     01       4.0
 44660   -32116  6576971   5.7193  58.9987 1989                 02     15     02       4.2
 44660   -32116  6576971   5.7193  58.9987 1989                 03     07     09       4.4
 44660   -32116  6576971   5.7193  58.9987 1989                 03     21     16       4.4
 44660   -32116  6576971   5.7193  58.9987 1989                 06     28     16       4.0
 44660   -32116  6576971   5.7193  58.9987 1989                 06     29     02       4.0
 44660   -32116  6576971   5.7193  58.9987 1989                 06     29     06       4.4
 44660   -32116  6576971   5.7193  58.9987 1989                 07     27     20       5.6
 44660   -32116  6576971   5.7193  58.9987 1989                 07     29     06       4.0
 44660   -32116  6576971   5.7193  58.9987 1989                 07     29     17       4.8
 44660   -32116  6576971   5.7193  58.9987 1990                 07     01     08       6.0
 44660   -32116  6576971   5.7193  58.9987 1990                 08     08     22       4.6
 44660   -32116  6576971   5.7193  58.9987 1990                 08     16     03       7.2
 44660   -32116  6576971   5.7193  58.9987 1990                 08     18     10       5.2
 44660   -32116  6576971   5.7193  58.9987 1990                 08     30     20       6.8
 44660   -32116  6576971   5.7193  58.9987 1990                 09     04     10       5.2
 44660   -32116  6576971   5.7193  58.9987 1990                 09     04     15       5.0
 44660   -32116  6576971   5.7193  58.9987 1990                 10     09     02       5.6
 44660   -32116  6576971   5.7193  58.9987 1990                 12     11     19       5.4
 44660   -32116  6576971   5.7193  58.9987 1990                 12     28     22       5.0
 44660   -32116  6576971   5.7193  58.9987 1991                 06     07     13       5.6
 44660   -32116  6576971   5.7193  58.9987 1991                 07     09     12       6.4
 44660   -32116  6576971   5.7193  58.9987 1991                 08     02     17       7.6
 44660   -32116  6576971   5.7193  58.9987 1991                 08     11     07       5.6
 44660   -32116  6576971   5.7193  58.9987 1991                 09     14     23       7.2
 44660   -32116  6576971   5.7193  58.9987 1991                 09     15     01       6.6
 44660   -32116  6576971   5.7193  58.9987 1991                 09     22     10      10.0
 44660   -32116  6576971   5.7193  58.9987 1991                 10     05     17       6.6
 44660   -32116  6576971   5.7193  58.9987 1991                 11     01     23       6.4
 44660   -32116  6576971   5.7193  58.9987 1991                 11     13     04       5.6
 44660   -32116  6576971   5.7193  58.9987 1992                 08     09     17       6.8
 44660   -32116  6576971   5.7193  58.9987 1992                 08     16     16       8.8
 44660   -32116  6576971   5.7193  58.9987 1992                 08     23     13       8.2
 44660   -32116  6576971   5.7193  58.9987 1992                 09     07     13      16.4
 44660   -32116  6576971   5.7193  58.9987 1992                 09     11     23      10.2
 44660   -32116  6576971   5.7193  58.9987 1992                 09     13     17       7.2
 44660   -32116  6576971   5.7193  58.9987 1992                 09     22     22      16.4
 44660   -32116  6576971   5.7193  58.9987 1992                 09     22     23      15.4
 44660   -32116  6576971   5.7193  58.9987 1992                 11     06     11       7.4
 44660   -32116  6576971   5.7193  58.9987 1992                 11     06     12       6.8

