
  STNR     EAST    NORTH      LON      LAT YEAR         MONTH  DAY     RR_1
------ -------- -------- -------- -------- ------------ ------ ------ -----
 68170   272030  7040801  10.4303  63.4225 1967         06     07        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     07        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     07       1.0
 68170   272030  7040801  10.4303  63.4225 1967         06     07       1.4
 68170   272030  7040801  10.4303  63.4225 1967         06     07       2.2
 68170   272030  7040801  10.4303  63.4225 1967         06     07       2.8
 68170   272030  7040801  10.4303  63.4225 1967         06     08        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     08        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     10        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     10        .6
 68170   272030  7040801  10.4303  63.4225 1967         06     10        .8
 68170   272030  7040801  10.4303  63.4225 1967         06     10       1.2
 68170   272030  7040801  10.4303  63.4225 1967         06     10       1.4
 68170   272030  7040801  10.4303  63.4225 1967         06     10       1.6
 68170   272030  7040801  10.4303  63.4225 1967         06     18        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     18        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     19        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     20        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     20        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     21        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     21        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     21       1.0
 68170   272030  7040801  10.4303  63.4225 1967         06     22        .6
 68170   272030  7040801  10.4303  63.4225 1967         06     23        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     23        .6
 68170   272030  7040801  10.4303  63.4225 1967         06     23       1.4
 68170   272030  7040801  10.4303  63.4225 1967         06     23       1.8
 68170   272030  7040801  10.4303  63.4225 1967         06     24        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     24        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     25        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     25        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     27       1.0
 68170   272030  7040801  10.4303  63.4225 1967         06     29        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     29        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     29        .6
 68170   272030  7040801  10.4303  63.4225 1967         06     30        .2
 68170   272030  7040801  10.4303  63.4225 1967         06     30        .4
 68170   272030  7040801  10.4303  63.4225 1967         06     30        .8
 68170   272030  7040801  10.4303  63.4225 1967         07     01        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     03        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     03       1.4
 68170   272030  7040801  10.4303  63.4225 1967         07     03       1.8
 68170   272030  7040801  10.4303  63.4225 1967         07     03       3.0
 68170   272030  7040801  10.4303  63.4225 1967         07     05        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     05        .4
 68170   272030  7040801  10.4303  63.4225 1967         07     05        .6
 68170   272030  7040801  10.4303  63.4225 1967         07     06        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     06        .6
 68170   272030  7040801  10.4303  63.4225 1967         07     06        .8
 68170   272030  7040801  10.4303  63.4225 1967         07     06       1.0
 68170   272030  7040801  10.4303  63.4225 1967         07     07        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     09        .4
 68170   272030  7040801  10.4303  63.4225 1967         07     09       1.4
 68170   272030  7040801  10.4303  63.4225 1967         07     10        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     10        .6
 68170   272030  7040801  10.4303  63.4225 1967         07     10       1.0
 68170   272030  7040801  10.4303  63.4225 1967         07     10       2.0
 68170   272030  7040801  10.4303  63.4225 1967         07     10       3.8
 68170   272030  7040801  10.4303  63.4225 1967         07     11        .2
 68170   272030  7040801  10.4303  63.4225 1967         07     11        .4
 68170   272030  7040801  10.4303  63.4225 1967         07     11        .6
 68170   272030  7040801  10.4303  63.4225 1967         07     11        .8
