ID	X	Y
200	352812	6802233
1220	292596	6559392
2840	299878	6624918
3015	273369	6567897
3030	269721	6572716
3120	273191	6575744
3190	278602	6578270
3810	283569	6611689
4220	279460	6655496
4781	282365	6678855
6760	278192	6795791
11620	264085	6748310
12290	287708	6746937
12670	256284	6784678
15720	125425	6884414
17005	262798	6566756
17030	257811	6577264
17150	261313	6589257
17260	255652	6598006
17870	263485	6621780
17980	266048	6641271
18020	264179	6645365
18210	265518	6650271
18269	271371	6653365
18270	273036	6654680
18320	262808	6651281
18420	264918	6652911
18640	261209	6649095
18701	260972	6652714
18702	260973	6652759
18815	258608	6648683
18920	260164	6654412
18980	256024	6650584
19020	257732	6655766
19490	249325	6649469
19510	255499	6652819
19710	244377	6644211
20300	236287	6677610
24870	178673	6728872
24880	178073	6729127
26890	230414	6631902
26999	231900	6623928
27270	239763	6579935
27460	238031	6574055
27470	229013	6570241
27564	225728	6566677
27580	228429	6563500
30270	195698	6567898
30310	191593	6573765
30320	191170	6574772
32100	169240	6597809
36060	136281	6497725
38130	124651	6484294
39150	91520	6466542
39200	88185	6466351
39201	84331	6462693
39260	88634	6481403
40140	70940	6575336
40490	38645	6605533
40500	40417	6609590
44190	-34980	6547733
44580	-35735	6571781
44620	-34266	6576009
44640	-32148	6572293
44660	-32116	6576971
44730	-31881	6561990
47240	-53742	6610633
47890	-2184	6669759
50480	-36069	6723546
50490	-36069	6723546
52290	9336	6779009
52300	8138	6778307
54730	132105	6801902
58700	92666	6891186
60940	54704	6955969
62290	103398	6980852
63420	170518	6965858
63500	196868	6949321
64300	132627	7020442
66830	256412	6951857
68170	272030	7040801
68190	271595	7037870
68230	271467	7038181
68863	273092	7039406
71000	326609	7104351
72850	369214	7166695
73490	438246	7147784
80200	418990	7364523
81620	513099	7427699
82090	517114	7460720
82310	475125	7465687
84710	601091	7595061
89350	641289	7664878
97250	908546	7741699
99370	1071181	7805409

