Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -34266 E, 6576009 N

Elevation of grid point: 1 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	0.6	87 
1967	2	2.2	101 
1967	3	3.5	228 
1967	4	4.3	125 
1967	5	8.4	125 
1967	6	11.3	116 
1967	7	13.9	93 
1967	8	13.9	257 
1967	9	12.2	152 
1967	10	8.3	301 
1967	11	6.2	201 
1967	12	1.8	225 
1968	1	-0.1	133 
1968	2	-0.1	68 
1968	3	2.8	166 
1968	4	5.7	60 
1968	5	8.2	54 
1968	6	13.5	93 
1968	7	13.9	37 
1968	8	13.9	6 
1968	9	13.4	199 
1968	10	8.1	224 
1968	11	3.1	85 
1968	12	1.1	68 
1969	1	2.3	135 
1969	2	-3.6	94 
1969	3	-0.6	66 
1969	4	5.3	57 
1969	5	9.2	43 
1969	6	13.5	56 
1969	7	13.9	158 
1969	8	17.5	47 
1969	9	11.7	245 
1969	10	8.9	131 
1969	11	2.8	229 
1969	12	0.3	59 
1970	1	-0.7	62 
1970	2	-2.9	41 
1970	3	0.2	150 
1970	4	3.2	68 
1970	5	9.8	58 
1970	6	14.2	105 
1970	7	13	267 
1970	8	14.9	60 
1970	9	11	208 
1970	10	8	231 
1970	11	4.4	220 
1970	12	2.6	103 
1971	1	2.7	81 
1971	2	2.9	102 
1971	3	0.8	84 
1971	4	5.3	66 
1971	5	9.7	120 
1971	6	12	69 
1971	7	13.4	98 
1971	8	14.2	106 
1971	9	11.2	129 
1971	10	7.6	195 
1971	11	3.6	268 
1971	12	5	157 
1972	1	-0.7	53 
1972	2	0.9	33 
1972	3	2.9	59 
1972	4	5.2	109 
1972	5	10.5	68 
1972	6	11.5	181 
1972	7	14.5	120 
1972	8	12.9	166 
1972	9	9.6	102 
1972	10	7.6	89 
1972	11	4.5	228 
1972	12	5.2	161 
1973	1	3.3	65 
1973	2	1.5	152 
1973	3	4.2	89 
1973	4	4	88 
1973	5	8.7	118 
1973	6	12.2	88 
1973	7	15.5	51 
1973	8	12.9	91 
1973	9	11.1	129 
1973	10	5.7	115 
1973	11	3.3	237 
1973	12	1.9	169 
1974	1	4.1	105 
1974	2	3.7	95 
1974	3	3.4	25 
1974	4	6.3	4 
1974	5	10.4	51 
1974	6	13.2	78 
1974	7	12.5	172 
1974	8	13.6	88 
1974	9	11.9	333 
1974	10	6.8	62 
1974	11	4.6	142 
1974	12	4.3	210 
1975	1	4.2	295 
1975	2	2.1	36 
1975	3	2.3	42 
1975	4	4.1	51 
1975	5	9.2	60 
1975	6	11.5	60 
1975	7	14	91 
1975	8	16.8	82 
1975	9	11.4	301 
1975	10	8	105 
1975	11	5.4	157 
1975	12	4.3	180 
1976	1	0.6	143 
1976	2	0.9	65 
1976	3	-0.6	48 
1976	4	4.5	86 
1976	5	9.8	95 
1976	6	12.9	69 
1976	7	15.5	92 
1976	8	14.4	13 
1976	9	9.8	69 
1976	10	8.2	159 
1976	11	4.8	134 
1976	12	-0.7	45 
1977	1	0	76 
1977	2	-0.5	59 
1977	3	3.5	98 
1977	4	3.1	76 
1977	5	9.3	37 
1977	6	10.9	62 
1977	7	12.7	84 
1977	8	13.6	92 
1977	9	10.1	217 
1977	10	9.4	156 
1977	11	3.7	249 
1977	12	3.5	127 
1978	1	1.9	99 
1978	2	-1.9	43 
1978	3	2	102 
1978	4	4.2	54 
1978	5	10	81 
1978	6	13.5	70 
1978	7	13.4	157 
1978	8	14.7	128 
1978	9	10.1	173 
1978	10	8.6	179 
1978	11	6	202 
1978	12	-0.3	13 
1979	1	-3.2	49 
1979	2	-2.8	74 
1979	3	1.6	132 
1979	4	4.9	45 
1979	5	7	101 
1979	6	12.4	141 
1979	7	12	70 
1979	8	13.2	226 
1979	9	10.7	209 
1979	10	8.1	90 
1979	11	4.2	195 
1979	12	1.9	130 
1980	1	-0.6	17 
1980	2	-0.9	61 
1980	3	0.7	31 
1980	4	5.3	37 
1980	5	9.5	15 
1980	6	13.5	134 
1980	7	15.2	53 
1980	8	14.5	136 
1980	9	12.4	170 
1980	10	6.6	248 
1980	11	3.3	108 
1980	12	3	219 
1981	1	0.3	177 
1981	2	0.3	108 
1981	3	1.4	125 
1981	4	4	28 
1981	5	11.1	83 
1981	6	11.3	108 
1981	7	13.6	173 
1981	8	13.2	93 
1981	9	12.9	158 
1981	10	7.4	278 
1981	11	5.2	299 
1981	12	-3	73 
1982	1	-0.5	99 
1982	2	1.8	56 
1982	3	3.1	155 
1982	4	4.7	60 
1982	5	8.6	134 
1982	6	13	55 
1982	7	14.8	73 
1982	8	15.1	161 
1982	9	11.7	207 
1982	10	9.2	139 
1982	11	6.1	247 
1982	12	3.1	245 
1983	1	4.6	260 
1983	2	-0.2	24 
1983	3	3.2	150 
1983	4	5.2	53 
1983	5	9.2	154 
1983	6	11.8	78 
1983	7	14.3	103 
1983	8	13.2	109 
1983	9	11.6	172 
1983	10	8.4	252 
1983	11	5.1	111 
1983	12	3.3	193 
1984	1	0.5	132 
1984	2	0.9	62 
1984	3	0.9	25 
1984	4	5	71 
1984	5	10.2	57 
1984	6	12.6	80 
1984	7	13	42 
1984	8	14.1	58 
1984	9	10.9	125 
1984	10	9.4	245 
1984	11	7.2	111 
1984	12	4.7	152 
1985	1	-2.8	61 
1985	2	-0.7	62 
1985	3	2	46 
1985	4	4.4	104 
1985	5	10.1	30 
1985	6	10.8	44 
1985	7	13.9	119 
1985	8	13.7	235 
1985	9	10.1	145 
1985	10	9.4	144 
1985	11	1.4	74 
1985	12	1.8	196 
1986	1	-1.6	112 
1986	2	-3.2	3 
1986	3	3	119 
1986	4	3.5	27 
1986	5	9.7	114 
1986	6	13.3	115 
1986	7	13.2	125 
1986	8	12.8	152 
1986	9	8.8	240 
1986	10	8.3	244 
1986	11	6.6	263 
1986	12	2.6	209 
1987	1	-3.2	75 
1987	2	1	78 
1987	3	-0.2	57 
1987	4	6	45 
1987	5	7.9	65 
1987	6	10.3	44 
1987	7	13.8	24 
1987	8	12.6	198 
1987	9	10.8	174 
1987	10	9.4	196 
1987	11	5.3	152 
1987	12	3.7	130 
1988	1	4	168 
1988	2	2.4	165 
1988	3	1.1	82 
1988	4	3.5	65 
1988	5	10.4	53 
1988	6	12.3	26 
1988	7	14.7	202 
1988	8	13.6	171 
1988	9	12.1	205 
1988	10	7.7	139 
1988	11	4.8	130 
1988	12	4	166 
1989	1	5.7	210 
1989	2	4.5	178 
1989	3	4.5	181 
1989	4	5.1	63 
1989	5	8.8	76 
1989	6	12.5	103 
1989	7	13.2	92 
1989	8	12.6	169 
1989	9	11.6	127 
1989	10	8.7	168 
1989	11	5.7	132 
1989	12	3.6	123 
1990	1	5.1	212 
1990	2	5.6	202 
1990	3	5.4	154 
1990	4	6.1	153 
1990	5	10	26 
1990	6	12.4	89 
1990	7	13.6	97 
1990	8	14.3	153 
1990	9	10.4	262 
1990	10	8.9	204 
1990	11	4.6	79 
1990	12	3.8	182 
1991	1	3.2	187 
1991	2	-1.1	83 
1991	3	4.4	106 
1991	4	5.5	112 
1991	5	7.9	24 
1991	6	9.8	108 
1991	7	15.3	53 
1991	8	15	111 
1991	9	11.3	192 
1991	10	7.9	115 
1991	11	5.6	248 
1991	12	4.7	133 
1992	1	4.4	191 
1992	2	3.6	157 
1992	3	3.8	250 
1992	4	4.6	73 
1992	5	10.9	106 
1992	6	15.1	54 
1992	7	13.7	140 
1992	8	13.1	196 
1992	9	11.9	221 
1992	10	5.9	71 
1992	11	4.9	267 
1992	12	4.1	238 
1993	1	3.3	206 
1993	2	3.2	112 
1993	3	2.6	84 
1993	4	6.4	49 
1993	5	11.1	25 
1993	6	10.7	40 
1993	7	11.7	95 
1993	8	12.4	130 
1993	9	10.3	40 
1993	10	6.9	102 
1993	11	2.4	30 
1993	12	1.4	234 
1994	1	2.5	163 
1994	2	-1.9	56 
1994	3	2.2	192 
1994	4	5.9	123 
1994	5	9.2	77 
1994	6	10.6	143 
1994	7	16.1	48 
1994	8	14.7	182 
1994	9	11.1	105 
1994	10	7	111 
1994	11	7	100 
1994	12	5	251 
1995	1	2.3	198 
1995	2	2.7	213 
1995	3	2.8	155 
1995	4	5	87 
1995	5	7.9	64 
1995	6	12.5	63 
1995	7	14.3	125 
1995	8	14.6	32 
1995	9	12.2	185 
1995	10	10.3	243 
1995	11	4.5	129 
1995	12	-1.1	73 
1996	1	0.4	8 
1996	2	-1.1	87 
1996	3	1.1	27 
1996	4	5.3	58 
1996	5	7.3	69 
1996	6	10.8	126 
1996	7	12.1	60 
1996	8	16.7	129 
