Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 1071181 E, 7805409 N

Elevation of grid point: 96 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-12.4	42 
1967	2	-9.1	13 
1967	3	-4.3	33 
1967	4	-1.3	23 
1967	5	2.9	6 
1967	6	9.2	35 
1967	7	12.3	78 
1967	8	11.6	93 
1967	9	7.9	59 
1967	10	0.3	41 
1967	11	-0.4	29 
1967	12	-11.9	72 
1968	1	-16.4	51 
1968	2	-12.3	52 
1968	3	-8	33 
1968	4	-4.8	24 
1968	5	0	30 
1968	6	6.6	86 
1968	7	8	21 
1968	8	9.4	90 
1968	9	3.1	18 
1968	10	-4.1	53 
1968	11	-4.8	49 
1968	12	-5	74 
1969	1	-12.7	14 
1969	2	-16.1	3 
1969	3	-9.9	29 
1969	4	-4.5	28 
1969	5	0.5	15 
1969	6	6.2	21 
1969	7	10.4	91 
1969	8	10	29 
1969	9	4.8	43 
1969	10	1.5	47 
1969	11	-5.1	31 
1969	12	-8.9	9 
1970	1	-10	42 
1970	2	-17.2	58 
1970	3	-7.2	15 
1970	4	-6.8	9 
1970	5	2.9	3 
1970	6	10.4	34 
1970	7	13.3	84 
1970	8	12.6	72 
1970	9	6.1	104 
1970	10	1.4	27 
1970	11	-7.1	39 
1970	12	-6.5	26 
1971	1	-12.9	42 
1971	2	-14.1	15 
1971	3	-12.3	24 
1971	4	-4.7	19 
1971	5	1.4	20 
1971	6	6.1	27 
1971	7	11	44 
1971	8	10	156 
1971	9	4.8	147 
1971	10	-1.3	74 
1971	11	-9.3	40 
1971	12	-9.6	30 
1972	1	-6.8	5 
1972	2	-10.1	10 
1972	3	-6	46 
1972	4	-2.9	41 
1972	5	2.2	19 
1972	6	11.7	14 
1972	7	16	81 
1972	8	12.7	54 
1972	9	5.8	65 
1972	10	0.7	37 
1972	11	-8.8	38 
1972	12	-3.8	41 
1973	1	-7.1	44 
1973	2	-10.8	28 
1973	3	-8.4	16 
1973	4	-1.9	11 
1973	5	2.8	39 
1973	6	9.4	77 
1973	7	15.5	23 
1973	8	10	62 
1973	9	3.2	20 
1973	10	-2.8	43 
1973	11	-7.7	111 
1973	12	-15.2	71 
1974	1	-7.9	25 
1974	2	-7.8	106 
1974	3	-3.4	4 
1974	4	-1.4	12 
1974	5	1.8	29 
1974	6	9.7	49 
1974	7	14.4	128 
1974	8	11.3	86 
1974	9	8.2	69 
1974	10	0.3	40 
1974	11	-6.3	25 
1974	12	-3.4	50 
1975	1	-10.1	43 
1975	2	-8.6	36 
1975	3	-3.5	19 
1975	4	-2.4	15 
1975	5	3.9	92 
1975	6	6.6	75 
1975	7	10.2	100 
1975	8	8.2	66 
1975	9	7	56 
1975	10	0	28 
1975	11	-3.2	23 
1975	12	-8.8	50 
1976	1	-15	72 
1976	2	-10.3	7 
1976	3	-9.1	10 
1976	4	-2.3	10 
1976	5	4	25 
1976	6	6.6	31 
1976	7	12.1	65 
1976	8	10.6	106 
1976	9	3.7	60 
1976	10	-1.3	50 
1976	11	-7.3	72 
1976	12	-9.1	30 
1977	1	-12.4	34 
1977	2	-11.4	31 
1977	3	-8.6	67 
1977	4	-4	48 
1977	5	2	17 
1977	6	7.2	136 
1977	7	11.7	30 
1977	8	9.7	50 
1977	9	4.8	37 
1977	10	-1.4	43 
1977	11	-2.7	40 
1977	12	-7.7	36 
1978	1	-13.7	31 
1978	2	-12.4	36 
1978	3	-8.8	62 
1978	4	-4.2	36 
1978	5	3.2	5 
1978	6	6.7	7 
1978	7	8.3	101 
1978	8	8.9	74 
1978	9	5.2	49 
1978	10	-0.8	36 
1978	11	-6.4	22 
1978	12	-12.4	77 
1979	1	-16	20 
1979	2	-12.3	52 
1979	3	-8.5	28 
1979	4	-5.4	25 
1979	5	2.7	72 
1979	6	7.5	45 
1979	7	11.7	13 
1979	8	10.8	39 
1979	9	6.5	76 
1979	10	-2	27 
1979	11	-4.9	23 
1979	12	-6.4	48 
1980	1	-11.9	30 
1980	2	-14.4	17 
1980	3	-10.5	9 
1980	4	-2	25 
1980	5	1.8	14 
1980	6	8.8	34 
1980	7	9.3	19 
1980	8	10.4	8 
1980	9	6.1	41 
1980	10	0.1	36 
1980	11	-8.3	74 
1980	12	-11.5	67 
1981	1	-12.7	47 
1981	2	-13.1	17 
1981	3	-12.9	57 
1981	4	-3.9	29 
1981	5	1.9	22 
1981	6	5.9	122 
1981	7	12.2	83 
1981	8	9.6	91 
1981	9	5.3	47 
1981	10	1.5	117 
1981	11	-4.7	57 
1981	12	-13.4	72 
1982	1	-12.6	53 
1982	2	-7.4	16 
1982	3	-7.3	13 
1982	4	-2.9	63 
1982	5	2.2	47 
1982	6	4.5	51 
1982	7	12.8	136 
1982	8	9.3	49 
1982	9	5.3	102 
1982	10	-0.2	32 
1982	11	-3.9	35 
1982	12	-7.4	24 
1983	1	-9.4	95 
1983	2	-9.9	45 
1983	3	-6.8	46 
1983	4	-0.6	25 
1983	5	2.7	20 
1983	6	8.5	39 
1983	7	12.8	16 
1983	8	9.2	36 
1983	9	7.2	45 
1983	10	0.9	81 
1983	11	-8.5	87 
1983	12	-14.9	32 
1984	1	-12.3	32 
1984	2	-6.1	15 
1984	3	-8.1	33 
1984	4	-2.3	48 
1984	5	5.2	23 
1984	6	9.1	34 
1984	7	10.2	124 
1984	8	9.6	31 
1984	9	5.1	23 
1984	10	-0.1	47 
1984	11	-6.4	20 
1984	12	-5.2	10 
1985	1	-17.1	78 
1985	2	-18.4	38 
1985	3	-6.9	48 
1985	4	-4.8	24 
1985	5	0.8	29 
1985	6	7.6	23 
1985	7	11.7	17 
1985	8	10.9	61 
1985	9	6.4	71 
1985	10	1.5	68 
1985	11	-4.7	112 
1985	12	-16.5	47 
1986	1	-12.6	148 
1986	2	-11.2	33 
1986	3	-4.5	12 
1986	4	-3.7	77 
1986	5	2.6	11 
1986	6	10.4	25 
1986	7	9.8	75 
1986	8	9.9	102 
1986	9	3.4	31 
1986	10	1.6	24 
1986	11	-2.5	23 
1986	12	-14.5	52 
1987	1	-13.9	35 
1987	2	-13.8	44 
1987	3	-10.4	53 
1987	4	-4.3	38 
1987	5	1.8	46 
1987	6	6.4	65 
1987	7	9.6	74 
1987	8	7.5	90 
1987	9	5.8	33 
1987	10	5.6	9 
1987	11	-6.5	22 
